codeinsee,Code Département,Commune,Population totale,Population 0-14 ans,Population 15-29 ans,Population 30-44 ans,Population 45-59 ans,Population  60-74 ans,Population 75-89 ans,Population 90 ans ou plus,Population Hommes,Population Hommes 0-14 ans,Population Hommes 15-29 ans,Population Hommes 30-44 ans,Population Hommes 45-59 ans,Population Hommes 60-74 ans,Population Hommes 75-89 ans,Pop Hommes 90 ans ou plus,Population Hommes 0-19 ans,Population Hommes 20-64 ans,Population Hommes 65 ans ou plus,Population Femmes en 2011,Population Femmes 0-14 ans,Population Femmes 15-29 ans,Population Femmes 30-44 ans,Population Femmes 45-59 ans,Population Femmes 60-74 ans,Population Femmes 75-89 ans,Population Femmes 90 ans ou plus,Population Femmes 0-19 ans,Population Femmes 20-64 ans en 2011 (princ),Population Femmes 65 ans ou plus en 2011 (princ),Agriculteurs exploitants 15-24 ans,"Artisans, Commerçants 15-24 ans",Cadres 15-24 ans,Professions intermédiaires 15-24 ans,Employés 15-24 ans,Ouvriers 15-24 ans,Retraités 15-24 ans,Autres 15-24 ans,Agriculteurs exploitants 25-54 ans,"Artisans, Commerçants 25-54 ans",Cadres 25-54 ans,Professions intermédiaires 25-54 ans,Employés 25-54 ans,Ouvriers 25-54 ans,Retraités 25-54 ans,Autres professions 25-54 ans,Agriculteurs exploitants > 55 ans,"Artisans, Commerçants > 55 ans",Cadres > 55 ans,Professions intermédiaires > 55 ans,Employés  > 55 ans,Ouvriers > 55 ans,Retraités > 55 ans,Autres professions > 55 ans,Superficie,Département,Région,geo_shape,EPCI,Densité d'habitants (hab/km2),geo_point_2d
93029,93,Drancy,66635,14132.6180977,13864.620841400001,13402.676268700001,13451.2227724,7353.42298537,4203.83836388,226.600670611,32627.9095954,7197.99582072,6795.50589132,6694.80713104,6686.77573683,3678.62237728,1521.98992138,52.2127168404,9339.17764317,19713.1656314,3575.5663208000005,34007.0904046,6934.62227701,7069.11495005,6707.86913762,6764.44703554,3674.8006081,2681.8484425,174.38795377,9021.71412785,20075.5021117,4909.87416502,0.0,75.8782911721,155.95414264299998,856.798051485,1566.92681509,932.651120389,0.0,5316.7226251,7.089241413510001,1168.41428099,2004.50146094,5419.18641836,8587.75839474,6405.15713965,103.468590838,4078.10629426,3.63882841065,308.779972881,482.18801813199997,882.937954695,1221.7114784000003,1046.38847874,10562.5379514,1325.46430377,7.79,SEINE-SAINT-DENIS,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.4422437738, 48.9372175549], [2.4424489291, 48.9373075379], [2.4470231309, 48.9392360929], [2.4483876263, 48.9395490329], [2.4490701771, 48.939548575], [2.4509245784, 48.939232446], [2.4533779712, 48.9384208231], [2.4549462075, 48.9377903786], [2.4554901092, 48.937340515], [2.4607999403000003, 48.9328771257], [2.4625060952, 48.9262705715], [2.4650560125, 48.922364692], [2.4690166573, 48.9191097973], [2.4741292298, 48.918474965], [2.4742647762, 48.9184296961], [2.4743334522, 48.9182501393], [2.4752840401, 48.9170807318], [2.4752144327, 48.9164059582], [2.4731685929, 48.916318741], [2.4724868057, 48.9161394798], [2.4682895611, 48.9144149662], [2.4537099259, 48.911620906], [2.4369469731, 48.9130478165], [2.4336631965, 48.9137697617], [2.4233014605, 48.916140338700004], [2.4194179953, 48.917132391], [2.414987516, 48.9185820867], [2.4134884567, 48.9192573224], [2.414513551099999, 48.9202002996], [2.4184746121, 48.9248707245], [2.4219596875000002, 48.9294514693], [2.4220286669, 48.9296307597], [2.4223017396, 48.9299899918], [2.4225063328, 48.9301249714], [2.4228487797, 48.9302597152], [2.4262585934, 48.9308408387], [2.4350731463, 48.9323260625], [2.4388255143, 48.9326827208], [2.4444176189, 48.9326773004], [2.4444853055, 48.9328574703], [2.4447613956, 48.93384526], [2.4429928395, 48.9362291353], [2.4422437738, 48.9372175549]]]}",Métropole du Grand Paris,8553.91527599,"48.9233704771,2.44422453566"
92014,92,Bourg-la-Reine,19982,3534.55139783,4030.54539703,3980.92019908,3809.87991382,2547.89273016,1813.10337613,265.106985955,9313.70269805,1799.08438972,1980.75212174,1935.86190702,1788.42204427,1115.07567608,612.062744166,82.4438150534,2360.91103443,5611.14625897,1341.64540465,10668.297301999999,1735.46700811,2049.79327529,2045.05829206,2021.45786955,1432.81705408,1201.04063196,182.66317090099997,2353.34587427,6042.42321013,2272.52821755,0.0,0.0,191.52465304900002,263.446540535,280.688445843,98.6790000567,0.0,1740.8347789999998,0.0,241.16311214599997,3782.50523068,1827.27250194,1170.39387511,407.82943159300004,37.4014773447,573.358261513,0.0,108.97983053799999,743.703739665,312.89488886099997,287.502393936,86.6629936632,3837.98490758,459.622419516,1.8599999999999992,HAUTS-DE-SEINE,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.3258147798, 48.7819082975], [2.3250814619, 48.7804156272], [2.3246481191, 48.7791971693], [2.322803764, 48.7752364885], [2.3204321385, 48.7713492164], [2.3199219497, 48.7707167172], [2.3154598007000002, 48.77157986], [2.3154352506, 48.7715842164], [2.3124381271, 48.7721633206], [2.3142751147, 48.7768238827], [2.3104739468, 48.7848805568], [2.3096979141, 48.784897662], [2.3108418477, 48.7857766949], [2.310977231, 48.7861408379], [2.3112001369, 48.7872987656], [2.3124461828, 48.789317921], [2.3141046256, 48.789381416], [2.3186962649, 48.7879974096], [2.3186992571, 48.7879767402], [2.3244440388, 48.7822414329], [2.3258147798, 48.7819082975]]]}",Métropole du Grand Paris,10743.010752700002,"48.7802725553,2.3175926522"
91272,91,Gif-sur-Yvette,20622,3926.37861599,4134.3746437,3670.37384342,4368.22863721,3182.70416065,1257.26552787,82.6745711466,10303.3746113,2006.61291026,2401.87923671,1750.32009855,2079.38615944,1464.60243448,582.067217797,18.5065540582,2755.74365219,6082.174679,1465.45628012,10318.6253887,1919.76570573,1732.49540699,1920.05374487,2288.84247776,1718.10172618,675.198310076,64.1680170884,2626.1538893,5943.76721105,1748.70428834,0.0,7.30186162594,106.67902506,189.834071852,217.488532222,112.290021528,0.0,2517.98274704,6.251813798220001,303.297760295,3734.77727753,1691.72180742,1120.09376384,387.250557268,28.6400876796,443.97345794800003,8.976292615710001,95.4079640108,957.173522299,391.35116222199997,219.231280547,74.1376469331,3725.15855983,360.701022906,11.9,ESSONNE,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.1550988110000002, 48.7180598009], [2.1552341128, 48.7180148853], [2.1650224577, 48.7157379311], [2.1710019795, 48.7146228897], [2.1716814711, 48.7148030078], [2.1722261854, 48.7143102736], [2.1723030971, 48.7115143121], [2.1721038175, 48.7098515798], [2.1708238926, 48.7066585056], [2.1707559334, 48.7066589327], [2.1675633853, 48.7069236361], [2.163014807, 48.7068270481], [2.1622681421, 48.7066913813], [2.1595550505, 48.7057881001], [2.1568421303, 48.7047957073], [2.1542021505, 48.7024095535], [2.1472463606, 48.698372565], [2.1430859843, 48.693873133], [2.1421818689, 48.6912580751], [2.1415654685, 48.6865159425], [2.1415669174, 48.6859312727], [2.1408117027, 48.6858412802], [2.1393272448, 48.685817083], [2.1347413867, 48.6860339607], [2.1316133569, 48.6862405983], [2.1287925268, 48.6858647175], [2.1247289182, 48.6840152502], [2.1219780021, 48.6811039914], [2.1215972956, 48.680154898], [2.1202410272, 48.680756569], [2.1165534360000002, 48.6785605713], [2.1147254012, 48.6773407596], [2.1121463457, 48.6739600775], [2.1103808036, 48.6742716434], [2.1050140798, 48.6755645676], [2.1029929845, 48.6764363062], [2.1033593562, 48.6784377941], [2.1025643318, 48.6816268993], [2.1027276903, 48.6831105306], [2.1040079891, 48.6850550128], [2.1046149582, 48.6858646361], [2.1056293071, 48.6867654637], [2.1089259593, 48.6875142489], [2.1150690927, 48.6888957642], [2.1151368501, 48.6889862179], [2.1161460328, 48.6910103989], [2.1159411596, 48.6912346568], [2.1154649895, 48.6915936276], [2.1145804685, 48.6919963399], [2.1132891107, 48.6923528453], [2.111884522, 48.6925753666], [2.1090295859, 48.6933114581], [2.1064776124, 48.6943627796], [2.1058658355, 48.6945416942], [2.1035587637, 48.6945369697], [2.1020659269, 48.6943539344], [2.1009129605, 48.6940816932], [2.09914858, 48.6938093217], [2.0978580419, 48.6940307406], [2.0977877866, 48.6944799629], [2.0967897104, 48.6975118402], [2.0961320179, 48.7001846817], [2.09633215, 48.7009489763], [2.0969343193, 48.7027480424], [2.1038415199, 48.707130317], [2.108638731, 48.7124876624], [2.1103286615, 48.7143784127], [2.1117546387, 48.7142918917], [2.1220170299, 48.7157485612], [2.1233072674, 48.7159757239], [2.123991075, 48.7146737902], [2.1238615957, 48.7132354563], [2.124066967, 48.7127413453], [2.1255012358, 48.7108557405], [2.1266600287, 48.7099143656], [2.1274762035, 48.7094660939], [2.1363851511, 48.7060210964], [2.1370655179, 48.7058874977], [2.1386271359, 48.705799839], [2.1395104766, 48.7058017162], [2.1438556982, 48.7059436163], [2.1514692991, 48.7073490476], [2.1534262709, 48.7105426442], [2.1540211299, 48.7152718634], [2.1542872783, 48.7168001736], [2.1550308367, 48.7180602191], [2.1550988110000002, 48.7180598009]]]}",CA Communauté Paris-Saclay,1732.94117647,"48.6987447202,2.12716826039"
93013,93,Le Bourget,14978,3228.33952276,3163.14529625,3540.68099263,2400.93762722,1784.18651689,779.7241803730001,80.9858638826,7495.29526018,1639.29887589,1456.47728279,1870.78943592,1195.90785704,1054.5381326,264.843685809,13.4399901327,2016.22918243,4873.41937074,605.6467070040001,7482.70473982,1589.04064686,1706.66801346,1669.89155672,1205.02977018,729.6483842910001,514.8804945630001,67.54587375,1945.59712944,4547.10826718,989.9993432030001,0.0,10.2430046179,30.659295457600003,215.275195525,344.19558171,152.022723089,0.0,1034.76339189,5.41052028966,255.495820907,755.702782948,1355.43378667,1835.766092,1414.68948156,15.9777218656,1032.72561104,0.0,71.58069154340001,145.864436012,197.11567872,206.77476005900002,172.655523075,2013.41934495,482.889048794,2.04,SEINE-SAINT-DENIS,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.4422437738, 48.9372175549], [2.4429928395, 48.9362291353], [2.4447613956, 48.93384526], [2.4444853055, 48.9328574703], [2.4444176189, 48.9326773004], [2.4388255143, 48.9326827208], [2.4350731463, 48.9323260625], [2.4262585934, 48.9308408387], [2.4228487797, 48.9302597152], [2.4225063328, 48.9301249714], [2.4223017396, 48.9299899918], [2.4220286669, 48.9296307597], [2.4203237448, 48.9294075957], [2.4199820346, 48.9294527052], [2.4161173864, 48.9303763889], [2.4123496955, 48.9326124787], [2.4124174398, 48.9326568757], [2.4152859708, 48.935739255], [2.4168149679, 48.9394957982], [2.4173391508, 48.9396188506], [2.4175439144, 48.9396189465], [2.4182190388, 48.9391842773], [2.4201758303, 48.9396182179], [2.4226463621, 48.940259637], [2.4265859242, 48.9426265547], [2.4283443199, 48.9439883595], [2.4295035667000002, 48.9450918933], [2.4303248413, 48.9462684484], [2.4306656687, 48.9463132326], [2.432506771, 48.9459973257], [2.4350287382, 48.9450874854], [2.4349610586, 48.9449082115], [2.434550031, 48.9444143718], [2.43420903, 48.944009889], [2.4320215213, 48.9416749228], [2.4310640494, 48.9405975473], [2.4306526186, 48.9390245588], [2.4307196152, 48.9388899855], [2.4384903991, 48.9357836668], [2.4387625237, 48.9357381789], [2.4412194376, 48.9366345484], [2.4422437738, 48.9372175549]]]}",Métropole du Grand Paris,7342.15686275,"48.9360708295,2.4270973691"
94003,94,Arcueil,20100,3847.55673182,4430.9941195,4179.93443199,4143.75032665,2076.32725866,1266.82053591,154.616595474,9430.80990367,1945.16949064,2167.38865257,1981.34007752,1929.35751612,889.8389770680001,462.55197373699997,55.16321601640001,2626.73130869,5823.059591800001,981.019003185,10669.1900963,1902.38724118,2263.60546693,2198.59435448,2214.39281053,1186.48828159,804.2685621689999,99.4533794574,2484.98721881,6553.85135556,1630.35152197,0.0,11.4575633467,100.883206183,272.539653885,513.582692715,201.66586813900003,0.0,1689.26893444,0.0,340.61246853,2038.49722506,2076.14154656,2307.67969067,1096.10277068,34.9017907931,769.9258459710001,0.0,68.3477856125,397.658630287,279.83004746,391.910536961,255.454833811,3038.74292474,371.239348009,2.33,VAL-DE-MARNE,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.343845689, 48.7976619286], [2.3433525197, 48.7979056555], [2.341812598299999, 48.7985672374], [2.3410355048, 48.7988687511], [2.3346131041, 48.7986991596], [2.3303634239, 48.7996009078], [2.3254285516, 48.8010463737], [2.3239420483, 48.8015533304], [2.3259523316, 48.8066606601], [2.3263573965, 48.8082962413], [2.3252487503, 48.8084204008], [2.325004377, 48.8081537004], [2.3247595426, 48.8076072856], [2.324345341, 48.8066812682], [2.3214533379, 48.8059408749], [2.3183355349, 48.8060229694], [2.3178605003, 48.8084045535], [2.3179930383, 48.8085779931], [2.3188726915, 48.8097243373], [2.3190467534, 48.8099510763], [2.3217898452, 48.8096959526], [2.3255135677, 48.8095281473], [2.3287667513, 48.8134372169], [2.3290632573, 48.8137833468], [2.3305485349, 48.8135011704], [2.3327803739, 48.813088236], [2.3343582325, 48.8130178851], [2.3411905328, 48.8109556581], [2.3425118982, 48.806597291], [2.3436877653, 48.8059939645], [2.344862029, 48.805407706], [2.3446193039, 48.8051113746], [2.344386259, 48.8048034035], [2.3440731186, 48.8042602506], [2.3437218121, 48.8031799485], [2.3462990537, 48.802322557], [2.3474835228, 48.8016733695], [2.3477839080000003, 48.8014960292], [2.3473089723, 48.8009340124], [2.3476966758, 48.7989997271], [2.3476750616, 48.7986596368], [2.3458161188, 48.7972967809], [2.3446033797, 48.7972766459], [2.343845689, 48.7976619286]]]}",Métropole du Grand Paris,8626.60944206,"48.8053725236,2.33400842576"
92002,92,Antony,62012,11533.392090700001,12412.9588712,12766.7430176,12279.8408001,7413.57474987,5164.24296846,441.247502148,29648.4228236,5816.37731113,6236.24692648,6243.71825664,5880.83128703,3361.68493242,1991.81881315,117.745296697,7721.59409074,17965.6884695,3961.14026327,32363.5771764,5717.01477952,6176.71194467,6523.02476098,6399.00951307,4051.88981744,3172.4241553,323.502205452,7662.75089754,18840.953684,5859.87259493,0.0,19.9500008329,504.066308967,692.933322184,922.70721184,413.744791245,0.0,5409.21515326,1.0169000057700002,728.777368047,10371.0944036,6065.39659533,4418.97439819,1771.37414098,105.591725003,2144.44919789,9.80194082466,231.74469728,1965.02222186,1086.52510773,901.332793618,273.155686527,11267.2715373,1162.46239601,9.56,HAUTS-DE-SEINE,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.2902548978, 48.7666001446], [2.3054409626, 48.7690144321], [2.3067082959, 48.76927903], [2.3118312824, 48.770715353], [2.3124381271, 48.7721633206], [2.3154352506, 48.7715842164], [2.3154598007000002, 48.77157986], [2.3199219497, 48.7707167172], [2.3177715265, 48.7685710218], [2.3177218215, 48.768522169], [2.3164992691, 48.7673288378], [2.3158780366, 48.7667667378], [2.3156681205, 48.7667961158], [2.315075379, 48.7655155323], [2.3102224901, 48.7569529033], [2.3117428403, 48.7543083406], [2.3141445625, 48.7513441218], [2.3200318676, 48.7490149661], [2.3207207142, 48.7487580493], [2.3193166339, 48.7471220657], [2.316244875199999, 48.7419821831], [2.3160135925, 48.7362783591], [2.3159273415, 48.7336235847], [2.3150476212, 48.7322738582], [2.3132939902, 48.7302804858], [2.3085449531, 48.729444458], [2.307919372299999, 48.729353585], [2.3063883459, 48.7293608879], [2.303996513, 48.7294827823], [2.3038400608, 48.729489965], [2.3033980887, 48.7307205406], [2.3017756394, 48.7350212448], [2.3001918164, 48.7374341934], [2.2983820323, 48.7386378284], [2.2973331319, 48.7381657439], [2.2939788827, 48.7369218002], [2.2896379243, 48.7355531644], [2.2802904545000002, 48.7330110786], [2.2748212769, 48.7400908594], [2.2745120558, 48.740715898], [2.2751751524, 48.7408530445], [2.2783285369, 48.7423490447], [2.2835045673, 48.7450236969], [2.2844755876000002, 48.7459199717], [2.2853936451, 48.7475084932], [2.2814810911, 48.7510351158], [2.2772748382, 48.7538267817], [2.2750332406, 48.7552882756], [2.276143326899999, 48.7566558604], [2.2777688954, 48.758919692], [2.278618958, 48.7600158453], [2.2842146059, 48.760593671], [2.2881382187, 48.7607844166], [2.2911566022, 48.7620184027], [2.2918957264, 48.7642965499], [2.2919302437, 48.7645602877], [2.2918273392, 48.7647242733], [2.2902548978, 48.7666001446]]]}",Métropole du Grand Paris,6486.61087866,"48.7498603402,2.29906093691"
93066,93,Saint-Denis,107762,25850.459633099996,23899.6345281,26169.7017343,18021.4356126,9343.57985774,4055.55674849,421.63188565,54361.58297999999,13157.290042,11619.4339449,13527.775615600001,9302.12187162,5118.55439738,1537.75262549,98.6544829308,16343.207046200001,33762.4727253,4255.90320842,53400.41702,12693.1695911,12280.2005832,12641.9261186,8719.31374101,4225.02546036,2517.804123,322.977402719,15847.1059979,32346.4209561,5206.89006602,0.0,102.30799364100001,279.964581691,1309.0273665999998,2710.72326818,1332.17612097,0.0,8512.16304072,9.10974283627,1704.47528127,4961.0930365,8251.4261112,14595.993348299999,11160.4573424,148.39122225100002,7885.40749246,0.0,334.50819499799996,639.230344891,873.5696927710001,1688.1168503,1880.8934186000001,11094.410039899998,2394.24019227,12.38,SEINE-SAINT-DENIS,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.365846786, 48.9016094651], [2.3600520357, 48.9016110185], [2.3518739448, 48.9015220769], [2.3518047259, 48.9021512223], [2.3513975496, 48.9076788861], [2.3452507045, 48.9139253093], [2.339387712, 48.9197313981], [2.3374105635, 48.9208994633], [2.3359098577, 48.9216186884], [2.333114548, 48.9228316056], [2.3328418223, 48.9229218158], [2.3329771385, 48.9230115998], [2.333114608, 48.9231463604], [2.3392509563, 48.9292119297], [2.339729306, 48.9298054015], [2.3412293748, 48.9322768154], [2.3415024673, 48.9331308429], [2.3417073255, 48.9339844942], [2.3417064254, 48.9363208386], [2.3415026923, 48.9369950835], [2.3412292239, 48.9378937659], [2.3409575732, 48.9384327429], [2.3405473509, 48.9392416414], [2.3399680042, 48.9402528449], [2.3395250531, 48.9409491481], [2.3392523521, 48.9413532217], [2.3384331863, 48.9424323386], [2.3383653744, 48.9426118207], [2.3405483961, 48.9437893185], [2.3411622859, 48.9441488092], [2.3410936857, 48.9442833242], [2.339252393, 48.9455411734], [2.3391841232, 48.9455416964], [2.3386384999, 48.9451816735], [2.3381615721, 48.9450027825], [2.3374100329, 48.9447324439], [2.3372052495, 48.9447322111], [2.3365229291, 48.9451367097], [2.3365233653, 48.945316568], [2.3369330199, 48.9456317839], [2.3393889495, 48.9474735761], [2.3396616688, 48.9476081717], [2.3419807727, 48.947113731], [2.3443686592, 48.9465746578], [2.3442313068000002, 48.9459902751], [2.3445052557, 48.9458110184], [2.3446409859, 48.9457658973], [2.3456652182, 48.9463946921], [2.3458014173, 48.9465294278], [2.3459379481, 48.9465292735], [2.3481336417, 48.9471581374], [2.3485431423, 48.9473833841], [2.3499772197, 48.948326416], [2.3510689512000003, 48.9491353835], [2.3515121974, 48.9498320221], [2.3518192414, 48.9503930311], [2.352024292, 48.9504831677], [2.352297129, 48.950392916], [2.3603665151, 48.9478445315], [2.3654618107, 48.9475154965], [2.3662810107, 48.9475144341], [2.371479565, 48.9473340697], [2.3717520578, 48.9469290258], [2.3840281981, 48.9436357375], [2.3843012442, 48.9436353417], [2.3860069685, 48.944048765], [2.3875952954, 48.9445793692], [2.3886012569, 48.9449460129], [2.3899938776000003, 48.9459872734], [2.3928504977, 48.9477005026], [2.3944136882000002, 48.9482947347], [2.3976486309, 48.9486068926], [2.3985093448, 48.9480869389], [2.3984409524, 48.9478617777], [2.3982353671, 48.9474578721], [2.3961188817, 48.9454814179], [2.3952311067, 48.9448078823], [2.3842619189, 48.9366936007], [2.3776067423000002, 48.9317302441], [2.3771977282, 48.931236209], [2.3754222344, 48.9282620129], [2.3746688413, 48.923948676], [2.3747362196, 48.9236792394], [2.3737822761, 48.9234548299], [2.3690435547, 48.9239506623], [2.3670748512, 48.9208763785], [2.3664000377, 48.9177954126], [2.3658854311, 48.9110910872], [2.3659857194000002, 48.9072263968], [2.3659844047, 48.9058783256], [2.365846786, 48.9016094651]]]}",Métropole du Grand Paris,8704.52342488,"48.9296428406,2.35946866985"
94037,94,Gentilly,16892,3201.75180303,3563.1537297,3810.84589578,3331.83641223,1911.39251548,957.2321741569999,115.78746961600001,8002.52681152,1553.39999073,1768.54089297,1881.10229232,1595.40566625,837.774884165,330.472268816,35.8308162779,2082.96069927,5086.00637739,833.559734859,8889.47318848,1648.3518123,1794.61283674,1929.74360346,1736.43074598,1073.61763132,626.759905341,79.956653338,2179.93362628,5408.28994984,1301.24961236,0.0,13.4974874306,134.057945611,193.39485786900002,422.71067554,179.67331290799999,0.0,1401.29749853,0.0,265.753198361,1449.95845721,1724.84095047,2103.70981204,1027.13600701,34.1197077221,637.01606693,2.50853024325,95.7550441404,341.250331033,253.96790601900003,336.864454443,242.167638677,2592.83192532,248.736559977,1.17,VAL-DE-MARNE,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.3290632573, 48.8137833468], [2.3308771587, 48.8159088699], [2.3318980606, 48.8170109296], [2.3321449384, 48.8169817298], [2.3403197792, 48.8163858509], [2.3437673046, 48.8157968384], [2.3439025047, 48.8157670013], [2.3440365805, 48.8157182708], [2.3459582659000002, 48.8160363878], [2.3563285236000002, 48.815957758], [2.3564647458, 48.8159548937], [2.3560981554, 48.8155338073], [2.3512512693, 48.8118147284], [2.3502964959, 48.8110639512], [2.349443453, 48.8102381708], [2.3465041579, 48.8072514543], [2.3457812446, 48.8064821179], [2.3452642926, 48.805902777200004], [2.344862029, 48.805407706], [2.3436877653, 48.8059939645], [2.3425118982, 48.806597291], [2.3411905328, 48.8109556581], [2.3343582325, 48.8130178851], [2.3327803739, 48.813088236], [2.3305485349, 48.8135011704], [2.3290632573, 48.8137833468]]]}",Métropole du Grand Paris,14437.606837600002,"48.8129348783,2.34310649122"
95527,95,Roissy-en-France,2869,530.0,821.0,697.0,548.0,199.0,71.0,3.0,1468.0,283.0,437.0,343.0,275.0,101.0,28.0,1.0,390.0,1004.0,74.0,1401.0,247.0,384.0,354.0,273.0,98.0,43.0,2.0,321.0,999.0,81.0,0.0,0.0,4.0,88.0,208.0,48.0,0.0,176.0,0.0,32.0,132.0,420.0,540.0,228.0,8.0,36.0,0.0,4.0,32.0,48.0,48.0,24.0,208.0,40.0,14.21,VAL-D'OISE,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.4985680844, 49.0241087299], [2.498636013, 49.0241539735], [2.5027639896, 49.0255747884], [2.5088449537, 49.0275591659], [2.516596564, 49.0274305659], [2.5255793103, 49.0269448599], [2.5289949322, 49.0268045443], [2.5293362281, 49.0267141647], [2.5290556519000003, 49.0247833903], [2.5291227757, 49.0244680355], [2.5308982325000002, 49.024241194], [2.535013596199999, 49.023809402], [2.5347315322, 49.021717674], [2.5346806292, 49.019921775], [2.5378177402, 49.0166095444], [2.545220911, 49.0145471698], [2.54843158, 49.0147661071], [2.5490471496, 49.0147207633], [2.5532701787, 49.0118375164], [2.5530565519, 49.009816203], [2.5530841608, 49.0067661883], [2.5477767708, 49.0048732511], [2.5432207432, 49.0052399619], [2.539438076399999, 49.0056283534], [2.5354933007, 49.006560921], [2.5342855927, 49.0061911609], [2.5322372194, 49.0052237354], [2.5276657685, 49.0000551246], [2.5243742031, 48.9962411227], [2.5183558101, 48.9894603436], [2.5147638796000003, 48.9822556213], [2.5105094352, 48.9806682736], [2.5090261731, 48.980192811], [2.5058032657, 48.979346884], [2.5037023521, 48.9794694991], [2.5018765918, 48.9785348177], [2.500054114, 48.979822138], [2.5000551163, 48.9800019896], [2.4982831770000002, 48.9846769083], [2.4959175365, 48.9885444783], [2.4915786731000003, 48.9901447839], [2.4839918569, 48.9965220839], [2.4839914104, 48.9965670432], [2.4857556239000003, 48.9993334315], [2.4868521991, 48.9990045142], [2.4879550192, 48.9988725431], [2.4886018053, 49.0002241327], [2.4889699543, 49.0011447039], [2.4891233228000003, 49.0019483597], [2.4890343259, 49.0021035457], [2.4881190291, 49.0022003578], [2.4911337285, 49.0100462424], [2.4933361864, 49.0157592441], [2.4940243874, 49.0171055609], [2.4985680844, 49.0241087299]]]}",CA Roissy Pays de France,201.900070373,"49.0063195602,2.51384011981"
93005,93,Aulnay-sous-Bois,81880,19247.7612875,17254.3304212,16377.8807734,15593.2781877,8918.14232137,4190.55571802,298.051290783,40348.3040079,9903.71765383,8514.96981792,8040.44199657,7528.78574178,4572.18122496,1712.5426505999997,75.6649222156,12852.3265271,23232.3844789,4263.59300186,41531.6959921,9344.04363369,8739.36060332,8337.43877681,8064.49244591,4345.96109641,2478.01306743,222.386368567,12241.5420467,24111.385982,5178.76796344,0.0,81.4184288548,170.635347594,980.235207655,2050.0045923000002,1219.61627356,0.0,7192.71070656,2.74296493278,1284.20979355,3334.4027386,6387.02647649,9291.60542646,7663.45742996,102.14493821100001,4798.52498146,0.0,345.156470721,728.447833729,849.28768902,1450.17105326,1426.76154325,11394.2299404,1879.44887592,16.15,SEINE-SAINT-DENIS,ILE-DE-FRANCE,"{""type"": ""Polygon"", ""coordinates"": [[[2.4960054328, 48.9727191832], [2.496958077, 48.9719543291], [2.504787639, 48.9657875105], [2.5088210796, 48.9640199881], [2.5139302507, 48.9599312284], [2.5139935627, 48.9598784291], [2.5189123032, 48.955621411], [2.5223060091000002, 48.9523050305], [2.5236305417000002, 48.9509551172], [2.5241446815, 48.9505740744], [2.5217051104, 48.9497937005], [2.5175358844, 48.9481142599], [2.511879687, 48.9440114004], [2.5099651262, 48.9426205166], [2.5084580475, 48.9407357744], [2.5083892706, 48.9406464647], [2.5071132364, 48.9355675349], [2.5085708677, 48.9338514103], [2.5129162459, 48.9304141309], [2.5175599669, 48.925795333], [2.5175598529, 48.9256604403], [2.5174193223, 48.9246266], [2.5120680195, 48.9192784668], [2.5072938795, 48.9186564069], [2.5068845088, 48.9186574206], [2.4982227225, 48.9176358375], [2.4917295706, 48.9168800427], [2.4913212764, 48.9173306527], [2.4882230202, 48.9185252042], [2.4848298214, 48.9184845827], [2.481984064, 48.9185550472], [2.4810297914, 48.9186012778], [2.479120341, 48.9187836411], [2.4791909112, 48.9193675867], [2.4793970138, 48.9197713638], [2.479805502, 48.9199961616], [2.481072627, 48.9234738032], [2.4813185621000002, 48.9246763128], [2.4829816063, 48.9339308017], [2.4822638159, 48.9377541189], [2.4795278668, 48.9427062494], [2.478848096, 48.9435153362], [2.4774006184, 48.9445036256], [2.4712878006, 48.9480675949], [2.4601322219, 48.9547371769], [2.4594885661, 48.9550490183], [2.4600643281, 48.9560156197], [2.4631987615, 48.9599297759], [2.4661947504, 48.9632739903], [2.4673269472, 48.9643383446], [2.4746814946, 48.9674435258], [2.4797993453, 48.9686600357], [2.4882881245, 48.9711568922], [2.4927341392, 48.9745209638], [2.4930751549, 48.9744306828], [2.4958010902, 48.9729440344], [2.4960054328, 48.9727191832]]]}",Métropole du Grand Paris,5069.96904025,"48.946227127,2.49329631846"
