codeinsee,no2,o3,pm10
75103,31.662087912087912,27.513736263736263,33.52472527472528
75105,31.12087912087912,27.983516483516482,33.18131868131868
75110,32.989010989010985,27.89010989010989,33.815934065934066
75114,30.456043956043956,28.752747252747252,32.777472527472526
78575,17.60164835164835,32.64010989010989,25.013736263736263
91122,19.354395604395606,32.717032967032964,25.98901098901099
91272,19.39835164835165,32.887362637362635,25.86263736263736
91377,25.01923076923077,31.384615384615383,29.206043956043956
91471,20.576923076923077,32.2032967032967,26.46978021978022
91477,22.65934065934066,31.846153846153847,27.50824175824176
92002,26.39010989010989,30.895604395604394,29.96153846153846
92014,26.939560439560438,30.13186813186813,30.51923076923077
93005,29.964285714285715,30.85989010989011,32.01923076923077
93007,30.01923076923077,30.365384615384617,31.63186813186813
93013,30.057692307692307,30.096153846153847,30.895604395604394
93027,31.568681318681318,30.313186813186814,31.483516483516482
93029,31.104395604395606,30.153846153846153,31.50824175824176
93066,33.41208791208791,30.27747252747253,33.032967032967036
93078,28.895604395604394,30.983516483516482,31.87087912087912
94003,28.51098901098901,29.07967032967033,31.906593406593405
94037,29.392857142857142,28.74175824175824,32.59615384615385
95527,27.22252747252747,31.153846153846153,31.21978021978022
