from_stop_id,to_stop_id,transfer_type,min_transfer_time
2333,7945881,2,232
2333,7945880,2,236
2187,7945876,2,330
2077,7991820,2,281
7653670,2333,2,230
2126,3749677,2,217
2451,3678810,2,288
2059,7275182,2,202
6673108,1672,2,215
1672,8451936,2,240
1672,6591520,2,225
1672,7945883,2,225
2103,7985568,2,223
2103,7985569,2,204
2103,7985566,2,273
1672,8451935,2,254
2103,7985567,2,285
1706,3672225,2,316
2348,3764102,2,234
2348,3764103,2,234
1998,7946367,2,294
1960,3970592,2,232
4473154,1809,2,207
1866,3887769,2,230
2006,5067481,2,215
1706,3672226,2,316
1866,3887768,2,252
1998,7946368,2,316
2006,5067480,2,215
6673087,2078,2,217
1672,7275447,2,215
4473129,2127,2,235
1672,7275446,2,276
2215,3781677,2,214
1960,3970599,2,208
6673086,2078,2,235
2482,2472,2,180
2482,2167,2,300
2530,7931552,2,210
6673107,2482,2,276
6673114,1809,2,207
1968,2220,2,480
1968,2221,2,540
1968,2222,2,120
1650,7931552,2,210
2187,7275459,2,270
2237,7275683,2,221
1706,3672161,2,316
1706,3672160,2,316
5122176,1705,2,306
2197,5067606,2,193
2056,4889489,2,252
2077,1957,2,196
2077,4211804,2,282
2197,5067605,2,213
2056,4889488,2,252
2077,1958,2,97
2187,7946368,2,316
2187,7946367,2,294
7627571,2006,2,216
2237,4377716,2,195
2237,4377717,2,195
6748596,1918,2,241
1777,7899299,2,227
1672,7946195,2,240
1672,7946194,2,254
2451,4146117,2,316
2388,3764100,2,274
2045,3764139,2,195
2387,7899300,2,257
1998,2186,2,130
2095,3764139,2,195
1998,2185,2,104
2248,4035778,2,243
6748597,1918,2,244
1912,4377717,2,195
1672,8321649,2,153
1912,4377716,2,195
2006,7275465,2,270
2246,7312086,2,188
2333,7921103,2,208
1650,7931538,2,197
2246,7312087,2,225
2246,7275424,2,188
2246,7275423,2,225
2451,3678809,2,311
2530,4045003,2,197
2103,5991317,2,289
2103,5991316,2,270
4473144,1650,2,234
2482,3893394,2,276
1999,4274303,2,195
1705,5161445,2,192
1999,4274304,2,212
1705,5161446,2,192
2482,3893395,2,261
4473139,2385,2,353
1942,5067606,2,193
1942,5067605,2,213
1998,7275437,2,330
2126,4035729,2,205
2450,4834561,2,211
1998,7275438,2,321
2059,3786300,2,231
2006,7275188,2,270
2450,4834560,2,223
2387,7899299,2,227
2248,4238700,2,242
1866,7921103,2,208
1923,4035778,2,243
1923,4238699,2,242
2482,7922564,2,277
2126,4045033,2,282
2187,2185,2,96
2187,2186,2,129
1650,4045003,2,197
2095,3764140,2,187
2054,7260957,2,289
2047,3730339,2,207
2054,7260956,2,286
1705,5976749,2,262
1912,5121049,2,287
1912,5121048,2,287
1705,5976748,2,259
1650,7931916,2,197
1672,7921101,2,215
2188,4274304,2,212
2095,3730667,2,234
2188,4274303,2,195
2095,3730668,2,221
7981145,2248,2,313
2215,3970592,2,232
5605643,1999,2,212
6673086,2127,2,235
1705,5976750,2,283
1942,3909012,2,213
1650,4037255,2,210
2195,4834621,2,270
2388,7275192,2,274
2388,7275193,2,321
4314738,1809,2,204
2215,3970599,2,208
1912,7275683,2,221
2187,8079726,2,330
2187,8079727,2,330
