,insee,year,population,pct_ch,steps
118,91274,1968,325.0,0.8643617021276596,2
119,91274,1975,608.0,1.8707692307692307,3
120,91274,1982,809.0,1.330592105263158,4
121,91274,1990,887.0,1.096415327564895,5
122,91274,1999,984.0,1.109357384441939,6
123,91274,2006,1030.0,1.0467479674796747,7
124,91274,2012,1397.0,1.3563106796116504,8
125,91274,2017,1483.0,1.0615604867573372,9
126,91272,1962,4058.0,2.460885385081868,1
127,91272,1968,7298.0,1.7984228684080827,2
128,91272,1975,12945.0,1.7737736366127705,3
129,91272,1982,17166.0,1.326071842410197,4
130,91272,1990,19754.0,1.1507631364324828,5
131,91272,1999,21352.0,1.080895008605852,6
132,91272,2006,21816.0,1.0217309853877856,7
133,91272,2012,20346.0,0.9326182618261826,8
134,91272,2017,21379.0,1.0507716504472624,9
135,78575,1962,3082.0,1.6952695269526952,1
136,78575,1968,3488.0,1.1317326411421156,2
137,78575,1975,4807.0,1.3781536697247707,3
138,78575,1982,5221.0,1.0861244019138756,4
139,78575,1990,5589.0,1.0704845814977975,5
140,78575,1999,7650.0,1.3687600644122384,6
141,78575,2006,7858.0,1.0271895424836601,7
142,78575,2012,7730.0,0.9837108679053195,8
143,78575,2017,7862.0,1.0170763260025872,9
144,91319,1962,327.0,1.1554770318021201,1
145,91319,1968,302.0,0.9235474006116208,2
146,91319,1975,459.0,1.5198675496688743,3
147,91319,1982,432.0,0.9411764705882353,4
148,91319,1990,487.0,1.1273148148148149,5
149,91319,1999,530.0,1.0882956878850103,6
150,91319,2006,626.0,1.181132075471698,7
151,91319,2012,603.0,0.963258785942492,8
152,91319,2017,636.0,1.054726368159204,9
153,91560,1962,206.0,1.08994708994709,1
154,91560,1968,226.0,1.0970873786407767,2
155,91560,1975,224.0,0.9911504424778761,3
156,91560,1982,237.0,1.0580357142857142,4
157,91560,1990,265.0,1.1181434599156117,5
158,91560,1999,283.0,1.0679245283018868,6
159,91560,2006,275.0,0.9717314487632509,7
160,91560,2012,284.0,1.0327272727272727,8
161,91560,2017,441.0,1.5528169014084507,9
162,91111,1962,1007.0,1.0622362869198312,1
163,91111,1968,1059.0,1.051638530287984,2
164,91111,1975,1547.0,1.4608120868744099,3
165,91111,1982,1850.0,1.195862960568843,4
166,91111,1990,2220.0,1.2,5
167,91111,1999,3212.0,1.446846846846847,6
168,91111,2006,3342.0,1.0404732254047322,7
169,91111,2012,3551.0,1.0625374027528427,8
170,91111,2017,3408.0,0.959729653618699,9
171,91249,1962,920.0,0.9108910891089109,1
172,91249,1968,1164.0,1.2652173913043478,2
173,91249,1975,1374.0,1.1804123711340206,3
174,91249,1982,2017.0,1.467976710334789,4
175,91249,1990,2757.0,1.3668815071888945,5
176,91249,1999,3230.0,1.171563293434893,6
177,91249,2006,3651.0,1.1303405572755418,7
178,91249,2012,3754.0,1.0282114489181047,8
179,91249,2017,3851.0,1.0258391049547149,9
180,78545,1962,9309.0,2.0928507194244603,1
181,78545,1968,16001.0,1.7188742077559351,2
182,78545,1975,16537.0,1.0334979063808512,3
183,78545,1982,14996.0,0.9068150208623088,4
184,78545,1990,14829.0,0.9888636969858629,5
