,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
0,78561,77.11,3.91,36311.0,66.26,0.57,16.34,32.08,24.54,FILLON Fran̤ois,,36311.47,,,,2113.0
1,91338,70.49,6.92,28123.0,459.76,0.41,15.59,33.15,24.57,MACRON Emmanuel,5.0,28122.78,,,,2881.0
2,91122,71.18,8.05,31769.0,2145.45,0.64,19.35,32.72,25.99,MACRON Emmanuel,5.0,31768.89,,,,3848.0
3,78343,78.39,6.29,37659.0,620.88,0.63,21.62,30.88,26.07,FILLON Fran̤ois,,37659.33,,,,4044.0
4,91679,74.4,7.32,31538.0,201.8,0.54,19.32,31.87,25.61,MACRON Emmanuel,,31538.4,,,,3673.0
5,78620,70.92,6.7,32816.0,249.63,0.62,20.01,31.45,25.85,MACRON Emmanuel,,32816.4,,,,3914.0
6,78143,84.56,6.79,34954.0,287.02,0.67,19.17,31.89,25.58,MACRON Emmanuel,,34953.67,,,,3631.0
7,91275,71.14,6.85,29234.0,523.35,0.51,17.61,32.84,25.3,MACRON Emmanuel,,29234.0,,,,3365.0
8,78322,61.43,9.02,33588.0,801.07,0.62,22.8,31.16,26.71,MACRON Emmanuel,7.0,33588.33,,,,4420.0
9,78117,66.54,7.03,33116.0,651.55,0.63,22.85,30.94,26.6,MACRON Emmanuel,,33115.71,,,,4426.0
10,78297,39.1,10.18,23318.0,2130.09,0.46,21.25,31.16,26.45,MACRON Emmanuel,10.0,23318.1,,,,3529.0
11,91471,59.55,8.28,30417.0,2126.07,0.61,20.58,32.2,26.47,MACRON Emmanuel,6.0,30417.2,,,,3805.0
12,78356,60.66,9.44,26286.0,545.89,0.44,18.91,32.13,25.59,MACRON Emmanuel,6.0,26285.71,,,,3197.0
13,91274,75.76,6.9,31081.0,143.29,0.53,16.91,33.02,25.02,MACRON Emmanuel,,31081.43,,,,3326.0
14,91272,67.46,7.86,33295.0,1732.94,0.64,19.4,32.89,25.86,MACRON Emmanuel,5.0,33294.5,95.0,2030688.71,7282.48,3484.0
15,78575,72.87,8.58,32875.0,794.52,0.58,17.6,32.64,25.01,MACRON Emmanuel,5.0,32875.0,,,,3764.0
16,91319,81.3,6.52,28821.0,70.06,0.38,17.84,32.8,25.49,FILLON Fran̤ois,,28820.95,,,,2332.0
17,91560,70.44,4.61,27206.0,69.58,0.41,19.18,32.66,26.01,MACRON Emmanuel,,27206.19,,,,2146.0
18,91111,76.6,6.59,28084.0,312.25,0.43,16.81,33.05,25.05,MACRON Emmanuel,,28084.29,,,,2714.0
19,91249,79.26,6.97,27584.0,255.49,0.44,15.32,33.12,24.52,MACRON Emmanuel,,27583.91,,,,2659.0
20,78545,40.15,9.64,23878.0,3454.99,0.46,21.96,30.27,26.77,MACRON Emmanuel,10.0,23877.5,,,,3723.0
21,91534,71.52,5.05,32046.0,250.84,0.53,21.67,31.9,26.49,MACRON Emmanuel,,32045.71,,,,4130.0
22,78160,64.45,6.53,30295.0,426.75,0.54,16.57,32.6,24.69,FILLON Fran̤ois,6.0,30294.62,,,,3240.0
23,91538,73.94,7.45,36170.0,195.77,0.7,18.93,32.02,25.52,MACRON Emmanuel,,36169.5,,,,3710.0
24,78688,70.98,6.54,33333.0,3204.13,0.63,18.61,31.3,25.4,MACRON Emmanuel,5.0,33332.67,,,,4103.0
25,91411,83.5,5.35,32523.0,279.57,0.52,15.39,32.87,24.37,MACRON Emmanuel,,32522.5,,,,3312.0
26,91482,82.14,3.56,28278.0,83.58,0.39,13.93,32.98,24.01,MACRON Emmanuel,,28277.62,,,,2923.0
27,78162,81.46,12.15,32643.0,59.71,0.53,14.27,32.84,23.97,FILLON Fran̤ois,,32642.67,,,,1767.0
28,78406,87.25,9.82,39244.0,95.47,0.58,16.9,31.99,24.69,FILLON Fran̤ois,,39244.0,,,,2263.0
29,91093,92.64,4.76,34924.0,131.15,0.61,14.98,32.77,24.23,FILLON Fran̤ois,,34924.35,,,,2149.0
30,91634,75.98,5.38,26944.0,209.09,0.42,15.05,32.84,24.29,MACRON Emmanuel,,26943.94,,,,1689.0
