Unnamed: 0.1,Unnamed: 0.1.1,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2,candidat_last_name,candidat_couleur,nom,year,population,pct_ch,steps
29,261,91093,92.64,4.76,34924.0,131.15,0.61,14.98,32.77,24.23,François FILLON,,34924.35,,,,2149.0,FILLON,#2166ac,Boullay-les-Troux,1962,206.0,1.2189349112426036,2
30,270,91634,75.98,5.38,26944.0,209.09,0.42,15.05,32.84,24.29,Emmanuel MACRON,,26943.94,,,,1689.0,MACRON,#f0a399,Vaugrigneuse,1962,281.0,1.0035714285714286,2
31,279,78548,79.08,4.72,35335.0,76.91,0.57,15.09,32.33,24.1,François FILLON,,35334.8,,,,2648.0,FILLON,#2166ac,Saint-Forget,1962,273.0,1.2297297297297298,2
32,288,91312,69.81,6.97,29272.0,2711.86,0.49,22.38,31.28,26.96,Emmanuel MACRON,6.0,29272.0,,,,4236.0,MACRON,#f0a399,Igny,1962,5514.0,1.4862533692722373,2
33,297,91666,73.37,7.49,26378.0,419.37,0.35,21.08,32.24,26.72,Emmanuel MACRON,,26378.0,,,,2719.0,MACRON,#f0a399,Villejust,1962,716.0,1.3795761078998072,2
34,306,91635,82.55,7.8,34940.0,593.07,0.54,21.59,31.54,26.58,Emmanuel MACRON,,34940.0,,,,4511.0,MACRON,#f0a399,Vauhallan,1962,1085.0,1.9908256880733943,2
35,315,91186,82.46,7.4,29354.0,158.99,0.48,15.69,32.82,24.46,Emmanuel MACRON,,29354.4,,,,2718.0,MACRON,#f0a399,Courson-Monteloup,1962,145.0,1.1328125,2
36,324,91243,80.16,7.25,27441.0,191.94,0.41,17.95,32.89,25.38,Emmanuel MACRON,,27440.5,,,,2796.0,MACRON,#f0a399,Fontenay-lès-Briis,1962,847.0,0.75625,2
37,333,91477,51.72,8.48,26366.0,2591.11,0.52,22.66,31.85,27.51,Emmanuel MACRON,8.0,26365.56,,,,3489.0,MACRON,#f0a399,Palaiseau,1962,16326.0,2.0351533283470458,2
38,342,91363,71.5,8.51,27095.0,476.84,0.39,20.09,32.64,26.29,Emmanuel MACRON,6.0,27095.38,,,,2924.0,MACRON,#f0a399,Marcoussis,1962,2187.0,1.2715116279069767,2
39,351,78640,39.54,7.52,26540.0,2308.92,0.42,23.95,30.41,27.47,Emmanuel MACRON,6.0,26539.52,,,,4281.0,MACRON,#f0a399,Vélizy-Villacoublay,1962,6402.0,1.6967930029154519,2
40,360,91064,66.79,8.35,32078.0,460.47,0.56,23.49,31.22,27.33,François FILLON,5.0,32078.33,,,,3951.0,FILLON,#2166ac,Bièvres,1962,2712.0,1.751937984496124,2
41,369,91661,60.98,7.5,27629.0,1300.67,0.49,22.46,31.93,27.43,Emmanuel MACRON,6.0,27629.0,,,,3348.0,MACRON,#f0a399,Villebon-sur-Yvette,1962,3033.0,1.6306451612903226,2
42,378,91458,75.71,6.61,27933.0,641.73,0.43,21.18,32.31,26.73,Emmanuel MACRON,5.0,27933.2,,,,3254.0,MACRON,#f0a399,Nozay,1962,467.0,1.6385964912280702,2
43,387,91216,68.23,10.37,26763.0,2357.4,0.39,23.95,31.69,28.28,Emmanuel MACRON,7.0,26763.0,,,,3371.0,MACRON,#f0a399,Épinay-sur-Orge,1962,6103.0,1.6725130172650042,2
44,396,91667,77.62,8.87,28717.0,2994.42,0.45,23.35,31.63,27.76,Emmanuel MACRON,5.0,28717.14,,,,3297.0,MACRON,#f0a399,Villemoisson-sur-Orge,1962,2767.0,1.4647961884595024,2
45,405,91432,68.18,10.28,24277.0,2617.88,0.31,25.72,30.92,29.86,Emmanuel MACRON,9.0,24277.0,,,,3257.0,MACRON,#f0a399,Morangis,1962,5220.0,2.116788321167883,2
46,414,91161,60.27,10.9,21713.0,3340.96,0.32,25.32,31.0,29.52,Emmanuel MACRON,14.0,21712.67,,,,2586.0,MACRON,#f0a399,Chilly-Mazarin,1962,3411.0,2.0100176782557453,2
47,423,91345,52.19,12.29,21876.0,4425.93,0.33,24.3,31.28,28.56,Emmanuel MACRON,14.0,21876.0,,,,2812.0,MACRON,#f0a399,Longjumeau,1962,5522.0,1.8345514950166115,2
48,432,92022,53.35,7.85,29561.0,5280.67,0.57,24.05,29.78,27.52,Emmanuel MACRON,8.0,29560.8,100.0,1874160.01,6049.44,5064.0,MACRON,#f0a399,Chaville,1962,16787.0,1.2692424013307122,2
49,441,92048,52.86,9.88,28076.0,4523.62,0.52,25.09,30.07,28.79,Emmanuel MACRON,9.0,28076.0,368.0,2047998.73,6815.59,4989.0,MACRON,#f0a399,Meudon,1962,34878.0,1.677068808001154,2
50,450,91689,66.28,7.95,27131.0,668.09,0.41,26.84,30.76,30.49,Emmanuel MACRON,5.0,27131.11,,,,4002.0,MACRON,#f0a399,Wissous,1962,3477.0,2.310299003322259,2
51,459,94034,52.94,10.04,22226.0,7407.58,0.36,27.38,30.4,30.89,Emmanuel MACRON,13.0,22226.09,,,,3135.0,MACRON,#f0a399,Fresnes,1962,21527.0,2.464735516372796,2
52,468,91377,40.69,11.15,22511.0,4570.24,0.47,25.02,31.38,29.21,Emmanuel MACRON,15.0,22511.0,,,,3379.0,MACRON,#f0a399,Massy,1962,19137.0,4.569484240687679,2
53,477,92002,58.9,9.39,29100.0,6486.61,0.56,26.39,30.9,29.96,Emmanuel MACRON,8.0,29099.52,229.0,1983851.72,7066.11,4812.0,MACRON,#f0a399,Antony,1962,46483.0,2.189186643432393,2
54,486,91136,69.99,9.08,23459.0,699.73,0.26,23.64,31.22,28.21,Jean-Luc MELENCHON,10.0,23459.18,,,,3383.0,MÃ‰LENCHON,#b2182b,Champlan,1962,1607.0,1.6431492842535786,2
55,495,91645,69.69,7.29,33933.0,1554.95,0.58,24.12,31.16,28.16,Emmanuel MACRON,5.0,33933.4,,,,4371.0,MACRON,#f0a399,Verrières-le-Buisson,1962,7063.0,2.0099601593625502,2
56,504,92014,50.31,9.75,31039.0,10743.01,0.64,26.94,30.13,30.52,Emmanuel MACRON,9.0,31038.67,149.0,2184139.88,8601.64,5057.0,MACRON,#f0a399,Bourg-la-Reine,1962,17694.0,1.727254978524014,2
57,513,92060,43.95,7.89,27545.0,8244.28,0.49,24.74,30.43,28.56,Emmanuel MACRON,6.0,27545.28,69.0,2007167.29,6522.45,4976.0,MACRON,#f0a399,Le Plessis-Robinson,1962,18449.0,1.823384067997628,2
58,522,92071,48.93,8.93,33503.0,5536.11,0.66,26.27,30.55,29.91,Emmanuel MACRON,6.0,33503.0,,,,5717.0,MACRON,#f0a399,Sceaux,1962,19024.0,2.2518939393939394,2
