,CODGEO,LIBGEO,TauxProprietaires,TauxChomage,NiveauVieMedian,MacronExpIns,MacronExpVote
82,77085,Chanteloup-en-Brie,64.47574335,8.494007295,25701,"69,5","90,46"
83,77086,La Chapelle-Gauthier,76.77902622,11.4213198,23035,"68,95","89,85"
84,77087,La Chapelle-Iger,87.09677419,9.375,27241,"72,09","88,57"
85,77088,La Chapelle-la-Reine,67.19242902,12.37541528,22515,"63,67","87,28"
86,77089,La Chapelle-Rablais,93.35180055,4.811715481,24636,"74,96","89,08"
87,77090,La Chapelle-Saint-Sulpice,88.0952381,11.40350877,22909,"75,52",90
88,77091,Les Chapelles-Bourbon,81.50684932,4.564315353,26730,"71,03","88,03"
89,77093,La Chapelle-Moutils,81.39534884,12.14953271,19809,"75,26","89,26"
90,77094,Charmentray,69.90291262,7.051282051,25651,"63,78","84,46"
91,77095,Charny,81.52866242,5.838323353,25857,"67,62","85,78"
92,77096,Chartrettes,82.98479087,8.646003263,28665,"70,69","88,22"
93,77097,Chartronges,89.42307692,6.849315068,23183,"68,78","87,63"
94,77098,Châteaubleau,90.71428571,9.88372093,22745,"66,43","87,85"
95,77099,Château-Landon,72.58842444,14.23974256,20066,"64,35","88,79"
96,77100,Le Châtelet-en-Brie,77.18120805,9.775784753,24542,"69,55","88,72"
97,77101,Châtenay-sur-Seine,88.01020408,12.3046875,21769,"63,94","88,35"
98,77102,Châtenoy,91.54929577,6.818181818,22414,"66,96","90,36"
99,77103,Châtillon-la-Borde,91.76470588,7.258064516,27950,"75,82","89,03"
100,77104,Châtres,94.58333333,3.32326284,27269,"69,9","88,47"
101,77106,Chauffry,88.56382979,9.514563107,23743,"64,64","85,86"
102,77107,Chaumes-en-Brie,71.60883281,8.323281062,23763,"66,17","89,16"
103,77108,Chelles,56.19471098,12.01672686,21726,"64,27","89,41"
104,77109,Chenoise-Cucharmoy,74.20382166,11.65311653,20755,,
105,77110,Chenou,91.12903226,8.275862069,25009,"66,67","83,62"
106,77111,Chessy,51.8089725,8.477905074,25535,"69,64","88,99"
107,77112,Chevrainvilliers,95.04950495,10.43478261,25400,"77,65","87,97"
108,77113,Chevru,87.26287263,10.01727116,21810,"66,71","88,64"
109,77114,Chevry-Cossigny,75.74728261,6.801470588,26485,"68,18","89,94"
110,77115,Chevry-en-Sereine,88.4057971,7.438016529,23673,"76,27","92,56"
111,77116,Choisy-en-Brie,83.1792976,10,22832,"68,81","87,92"
112,77117,Citry,85.19637462,11.63310962,20508,"69,38","90,93"
113,77118,Claye-Souilly,62.70032051,9.857819905,25529,"67,58","88,25"
114,77119,Clos-Fontaine,95,8.955223881,23338,"67,42","88,69"
115,77120,Cocherel,74.64788732,13.08139535,21638,"71,43","87,98"
116,77121,Collégien,66.18589744,10.6010929,24759,71,"90,46"
117,77122,Combs-la-Ville,64.84777518,11.72351069,23122,"63,54","89,09"
118,77123,Compans,71.72995781,7.852193995,24092,"64,09","88,32"
119,77124,Conches-sur-Gondoire,88.78648233,7.37913486,30735,"72,23","89,69"
120,77125,Condé-Sainte-Libiaire,92.62589928,8.823529412,27019,"70,69","88,03"
121,77126,Congis-sur-Thérouanne,83.6867863,10.71428571,24165,"67,91","88,08"
122,77127,Coubert,66.81415929,7.753479125,24346,"63,24","82,2"
123,77128,Couilly-Pont-aux-Dames,79.26675095,8.611111111,26248,"67,29","87,2"
124,77129,Coulombs-en-Valois,80.45454545,13.22033898,21983,"67,89","88,24"
125,77130,Coulommes,83.01886792,10.31390135,24182,"70,72","86,97"
126,77131,Coulommiers,39.12013035,15.30401417,19075,"60,6","88,86"
127,77132,Coupvray,86.45833333,6.779661017,28050,"69,29","87,35"
128,77133,Courcelles-en-Bassée,86.31578947,9.708737864,25630,"72,83","85,71"
129,77134,Courchamp,86.66666667,8,22615,"78,79","92,86"
130,77135,Courpalay,90.52224371,9.433962264,23593,"65,78","87,45"
131,77136,Courquetaine,82.5,6.481481481,30045,"57,59","75,83"
132,77137,Courtacon,90.52631579,11.40350877,19382,"75,29","90,14"
133,77138,Courtomer,94.58128079,8.771929825,25001,"66,67","85,12"
134,77139,Courtry,81.47985989,10.65217391,25339,"65,19","88,02"
135,77140,Coutençon,84.25925926,7.5,23204,"67,29","84,21"
136,77141,Coutevroult,77.33333333,7.44500846,25503,"73,26","88,83"
137,77142,Crécy-la-Chapelle,65.3418124,7.628955353,25008,"70,51","88,42"
138,77143,Crégy-lès-Meaux,67.31001206,11.50159744,23297,"67,44","88,58"
139,77144,Crèvecoeur-en-Brie,90,5.339805825,25065,"69,49","86,3"
140,77145,Crisenoy,85.65400844,6.077348066,25552,"68,6","88,94"
141,77146,Croissy-Beaubourg,83.66013072,8.943965517,28234,"72,8","88,81"
142,77147,La Croix-en-Brie,88.72727273,4.833836858,23153,"71,12","89,73"
143,77148,Crouy-sur-Ourcq,75,12.47443763,21855,"64,86","87,39"
144,77150,Cuisy,83.125,5.485232068,26357,"66,23","86,96"
145,77151,Dagny,86.50793651,3.726708075,24267,"69,42","90,32"
146,77152,Dammarie-les-Lys,44.91306786,17.05286388,18694,"59,11","89,18"
147,77153,Dammartin-en-Goële,66.88154714,8.845780795,24386,"68,13","88,14"
148,77154,Dammartin-sur-Tigeaux,89.82188295,5.714285714,24536,"75,43","91,24"
149,77155,Dampmart,75.95927956,9.760479042,24542,"66,3","87,88"
150,77156,Darvault,87.70949721,10.67708333,22599,"64,45","84,9"
151,77157,Dhuisy,80.17241379,13.75,24730,"71,82","89,27"
152,77158,Diant,91.95402299,6.18556701,22264,"63,04","83,45"
153,77159,Donnemarie-Dontilly,73.37883959,12.17998448,20870,"69,45","88,81"
154,77161,Dormelles,84.6875,8.571428571,26496,"69,88","89,46"
155,77162,Doue,87.37113402,10.90225564,22644,"70,78","90,19"
156,77163,Douy-la-Ramée,80.73394495,8.571428571,23404,"66,06","87,8"
