,insee,TauxProprietaires,TauxChomage,NiveauVieMedian
30116,77140,84.25925926,7.5,23204
30117,77141,77.33333333,7.44500846,25503
30118,77142,65.3418124,7.628955353,25008
30119,77143,67.31001206,11.50159744,23297
30120,77144,90,5.339805825,25065
30121,77145,85.65400844,6.077348066,25552
30122,77146,83.66013072,8.943965517,28234
30123,77147,88.72727273,4.833836858,23153
30124,77148,75,12.47443763,21855
30125,77150,83.125,5.485232068,26357
30126,77151,86.50793651,3.726708075,24267
30127,77152,44.91306786,17.05286388,18694
30128,77153,66.88154714,8.845780795,24386
30129,77154,89.82188295,5.714285714,24536
30130,77155,75.95927956,9.760479042,24542
30131,77156,87.70949721,10.67708333,22599
30132,77157,80.17241379,13.75,24730
30133,77158,91.95402299,6.18556701,22264
30134,77159,73.37883959,12.17998448,20870
30135,77161,84.6875,8.571428571,26496
30136,77162,87.37113402,10.90225564,22644
30137,77163,80.73394495,8.571428571,23404
30138,77164,83.49056604,7.046979866,22713
30139,77165,86.58008658,10.3030303,25582
30140,77167,75.96899225,8.823529412,22950
30141,77168,76.30385488,10.70686071,20835
30142,77169,65.85540444,11.62954279,24516
30143,77171,75.88964414,9.47503201,25230
30144,77172,87.84530387,11.18721461,22556
30145,77173,79.93527508,7.831325301,23501
30146,77174,89.69957082,12.14057508,20734
30147,77175,88.02030457,6.294706724,27638
30148,77176,75.88516746,8.903133903,23091
30149,77177,68,8.950086059,27741
30150,77178,88.42105263,7.053941909,23835
30151,77179,82.68398268,6.578947368,27901
30152,77180,87.69931663,6.701030928,31806
30153,77181,58.09806835,7.716870676,26681
30154,77182,40.19753086,21.39011258,17400
30155,77183,49.31042826,15.48740416,19403
30156,77184,91.25,7.624633431,23289
30157,77185,75.46468401,5.05952381,30929
30158,77186,39.57780138,10.11661808,24607
30159,77187,86.66666667,18.83561644,19135
30160,77188,86.12440191,7.438016529,28593
30161,77190,86,7.826086957,24975
30162,77191,89.16256158,7.00525394,24687
30163,77192,63.7357631,10.04319654,22696
30164,77193,87.67123288,6.015037594,28674
30165,77194,69.07894737,11.62790698,22899
30166,77195,90.99526066,4.467353952,26125
30167,77196,79.12772586,5.222437137,26656
30168,77197,82.25806452,8.333333333,24105
30169,77198,87.91208791,7.407407407,24741
30170,77199,76.68067227,11.44578313,23293
30171,77200,86.36363636,3.389830508,26389
30172,77201,82.46268657,7.692307692,23706
30173,77202,76.22149837,7.398568019,23468
30174,77203,91.6988417,11.14503817,27911
30175,77204,87.17948718,12.64367816,22135
30176,77205,89.79591837,8.139534884,27178
30177,77206,71.18644068,5.479452055,22821
30178,77207,91.93548387,4.705882353,20941
30179,77208,76.70979667,14.77272727,20950
30180,77209,85.64920273,8.49220104,31856
30181,77210,84.33962264,11.14675221,22796
30182,77211,84.79381443,10.96153846,22209
30183,77212,93.33333333,17.39130435,25522
30184,77214,89.64497041,6.313131313,33300
30185,77215,55.71677307,11.9047619,21868
30186,77216,82.13058419,8.625730994,24223
30187,77217,84.07367281,6.823529412,26754
30188,77218,60.41666667,22.4137931,19745
30189,77219,88,7.256778309,26036
30190,77220,87.5,5.925925926,24027
30191,77221,85.52036199,6.598984772,31144
30192,77222,66.93386774,8.621529469,22231
30193,77223,81.48148148,8.620689655,22721
30194,77224,82.8125,1.863354037,24447
30195,77225,70.90909091,9.74025974,22531
30196,77226,81.8707811,8.203445447,27347
30197,77227,87.74703557,12.77955272,21087
30198,77228,93.26923077,11.81102362,22591
30199,77229,86.5448505,7.667031763,25608
30200,77230,88.57142857,7.865168539,22108
30201,77231,77.93594306,11.03117506,21656
30202,77232,85.44303797,7.4,26178
30203,77233,82.29665072,9.120521173,23610
30204,77234,81.25,7.556675063,26387
30205,77235,84.03361345,12.65060241,23586
30206,77236,89.54248366,5.421686747,22824
30207,77237,72.98387097,9.119496855,25461
30208,77238,67.71117166,13.08641975,21263
30209,77239,76.91001698,8.706467662,21925
30210,77240,79.10271547,12.23175966,20758
30211,77241,77.58112094,7.919847328,24217
30212,77242,79.31034483,7.114624506,21541
30213,77243,54.79180436,12.06977398,22993
30214,77244,81.78807947,7.386363636,24402
