Code INSEE;Code Département;Commune;Population totale;Population 0-14 ans;Population 15-29 ans;Population 30-44 ans;Population 45-59 ans;Population  60-74 ans;Population 75-89 ans;Population 90 ans ou plus;Population Hommes;Population Hommes 0-14 ans;Population Hommes 15-29 ans;Population Hommes 30-44 ans;Population Hommes 45-59 ans;Population Hommes 60-74 ans;Population Hommes 75-89 ans;Pop Hommes 90 ans ou plus;Population Hommes 0-19 ans;Population Hommes 20-64 ans;Population Hommes 65 ans ou plus;Population Femmes en 2011;Population Femmes 0-14 ans;Population Femmes 15-29 ans;Population Femmes 30-44 ans;Population Femmes 45-59 ans;Population Femmes 60-74 ans;Population Femmes 75-89 ans;Population Femmes 90 ans ou plus;Population Femmes 0-19 ans;Population Femmes 20-64 ans en 2011 (princ);Population Femmes 65 ans ou plus en 2011 (princ);Agriculteurs exploitants 15-24 ans;Artisans, Commerçants 15-24 ans;Cadres 15-24 ans;Professions intermédiaires 15-24 ans;Employés 15-24 ans;Ouvriers 15-24 ans;Retraités 15-24 ans;Autres 15-24 ans;Agriculteurs exploitants 25-54 ans;Artisans, Commerçants 25-54 ans;Cadres 25-54 ans;Professions intermédiaires 25-54 ans;Employés 25-54 ans;Ouvriers 25-54 ans;Retraités 25-54 ans;Autres professions 25-54 ans;Agriculteurs exploitants > 55 ans;Artisans, Commerçants > 55 ans;Cadres > 55 ans;Professions intermédiaires > 55 ans;Employés  > 55 ans;Ouvriers > 55 ans;Retraités > 55 ans;Autres professions > 55 ans;Superficie;Département;Région;geo_shape;EPCI;Densité d'habitants (hab/km2);geo_point_2d
78092;78;Bougival;8472;1852.31338662;1371.78860064;1912.12975002;1587.13053014;1119.5689775;586.200361319;42.8683937699;4055.55850231;934.132208428;685.894300318;907.214844898;765.652472785;508.445131431;242.256271769;11.96327268;1183.36705593;2343.80752715;528.383919231;4416.44149769;918.181178188;685.894300318;1004.91490512;821.478057358;611.123846069;343.944089549;30.9051210899;1142.49254094;2551.167899;722.781057748;0.0;7.97551511998;11.96327268;95.7061814398;135.58375704;63.8041209599;0.0;438.653331599;7.97551511998;123.632569425;1311.97223724;889.269935878;721.784118358;275.155271639;7.97551511998;231.289938479;0.0;59.8163633999;255.216483839;179.4490902;115.64496924;23.9265453599;1403.69066112;131.59599948;2.7800000000000002;YVELINES;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[2.1243509823, 48.8743838424], [2.1263781347, 48.8731809182], [2.1274713377, 48.8724631063], [2.1286999372, 48.8718811743], [2.1302011768, 48.8712994123], [2.1327908989, 48.8707650948], [2.1344954091, 48.8704986295], [2.1376291214, 48.8703692561], [2.141716157, 48.8704651856], [2.1447578277, 48.8707091004], [2.1470747754, 48.8712526591], [2.1489107187, 48.8718665007], [2.1503913622, 48.870861641], [2.1492975905, 48.8700498427], [2.1521364368, 48.8695213751], [2.1544048563000002, 48.8688566053], [2.1545912958, 48.8677849824], [2.1540969334, 48.8648999252], [2.1537588035, 48.8644001854], [2.153689271, 48.864316952], [2.1529308186, 48.8634275087], [2.1528545615, 48.8633388309], [2.142977417, 48.8593508504], [2.1400900451, 48.8569836728], [2.1372093728, 48.8557092085], [2.1297939019, 48.8538954287], [2.1232668921, 48.8512278885], [2.1224513416, 48.8507767161], [2.1218359707, 48.851629311], [2.1213537495, 48.8529091861], [2.1255887944, 48.8580711563], [2.1315884679, 48.861604413], [2.1339578771, 48.8630596766], [2.1333333425, 48.8641379962], [2.1299452978, 48.8671110073], [2.1264636705, 48.8688124309], [2.1248264443, 48.8696188936], [2.1228463935, 48.8707025243], [2.1226408424, 48.8709267584], [2.1222466214, 48.873447483], [2.1243509823, 48.8743838424]]]}";CA Versailles Grand Parc (C.A.V.G.P.);3047.48201439;48.8636644704,2.13752713445
91332;91;Leudeville;1393;296.185150789;263.594607761;315.916041226;313.94164751;155.977103538;45.4110554604;1.97439371567;695.999878212;158.95174083;130.309985234;148.079528675;155.002953399;83.9117329159;19.7439371567;0.0;211.273174296;422.533301872;62.1934020436;697.000121788;137.233409958;133.284622527;167.836512551;158.938694111;72.0653706219;25.6671183037;1.97439371567;192.529480716;443.264435887;61.2062051857;0.0;3.94878743134;3.94878743134;11.846362294;35.5912737585;15.7951497254;0.0;126.361197803;3.94878743134;39.5400611898;146.10513496;197.491558443;134.258772665;63.1805989014;0.0;27.6415120194;0.0;7.89757486268;19.7439371567;43.4366617447;39.4878743134;15.7951497254;134.258772665;19.7439371567;7.83;ESSONNE;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[2.3384486206, 48.5904990602], [2.3377826415, 48.5892260799], [2.3384111078, 48.5873494954], [2.3394666043, 48.5849373378], [2.3396586059, 48.5826130336], [2.3363226882, 48.5768840318], [2.3362383943, 48.5739068871], [2.3422697422, 48.5663174027], [2.3438386679, 48.5588964534], [2.343838438899999, 48.558806494], [2.3476299784, 48.5574132077], [2.3475625499, 48.5572779007], [2.3446768751000002, 48.5547216166], [2.3433647275, 48.5534576611], [2.3427547172, 48.5528281808], [2.3404533888, 48.5542664715], [2.3273207113, 48.5534741545], [2.3175009327, 48.5528271829], [2.317026852899999, 48.552917119], [2.3170276219, 48.5529621028], [2.3136330532000002, 48.5582546159], [2.3147734634, 48.5654569404], [2.3149050821, 48.5753989005], [2.3132790477, 48.5757583516], [2.3147008464, 48.5786802557], [2.3149029347, 48.5793992751], [2.3208297711, 48.5867503111], [2.3252218442, 48.5920979897], [2.3261923326, 48.5930813065], [2.3265914269, 48.5929441336], [2.3299054676, 48.5915820155], [2.3359837231, 48.5912220727], [2.3372710668, 48.5908631274], [2.3384486206, 48.5904990602]]]}";CC du Val d'Essonne (Ccve);177.905491699;48.5704718858,2.32822291511
77243;77;Lagny-sur-Marne;20306;3945.07309318;3978.6057902;4450.68998744;4104.00932518;2455.1251476;1274.90555519;97.5911012272;9678.39221562;2026.47450238;1920.75404432;2172.43640118;1936.07797241;1130.14773333;476.412725572;16.0888364335;2611.83673757;6013.28027267;1053.27520538;10627.6077844;1918.5985908;2057.85174588;2278.25358626;2167.93135277;1324.97741427;798.492829613;81.5022647937;2546.93838909;6443.41229291;1637.25710238;0.0;9.82286509128;68.3280759315;318.598427575;442.837458963;329.16141563;0.0;1381.52565232;4.09218123669;324.508378864;1586.79699605;2467.28533594;2157.49810791;1602.85995022;29.3202372403;574.063001493;5.22405976003;126.220689338;342.48556437;322.923818071;361.703610811;192.742186502;3342.58248481;379.346576618;5.8;SEINE-ET-MARNE;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[2.6739594693, 48.876520147], [2.6756661483, 48.8770095123], [2.6776449981, 48.8775877186], [2.6905872522000003, 48.8802694362], [2.7020702066, 48.8806070252], [2.7038423067, 48.8806914604], [2.706582534, 48.8807728501], [2.7109117857, 48.881254619], [2.716060773699999, 48.8819567092], [2.7197447525, 48.8825292541], [2.723221615, 48.8828323143], [2.7277357541000002, 48.8832221713], [2.732027948, 48.8832975042], [2.7327099853, 48.8832504663], [2.7346824681, 48.8828393749], [2.7348863305, 48.8827040315], [2.7327041284, 48.8825319088], [2.7309719217, 48.8807752821], [2.7310386684, 48.8789399461], [2.7307331053, 48.8760668658], [2.729594433, 48.8695460785], [2.7296581113, 48.8690965644], [2.7293168723, 48.8689177286], [2.7272589562, 48.8669921157], [2.7253350723, 48.8647520096], [2.7259223594, 48.8614240694], [2.726123958, 48.8609299035], [2.7265284146, 48.860478469], [2.7269348784, 48.8601628353], [2.7275448936, 48.8597568321], [2.7260482656000002, 48.8600313064], [2.7210895677, 48.862862611], [2.7111552828, 48.864886801], [2.7094507507000003, 48.8647576696], [2.7087711579000002, 48.8648945132], [2.698087791, 48.8664193676], [2.6964550213000003, 48.8666040949], [2.6966102726, 48.8675658606], [2.6962542654, 48.8694733102], [2.6941880791, 48.8749655614], [2.6919813205, 48.8746424461], [2.6896056543, 48.8738413166], [2.6880234406, 48.873280528], [2.6864408622, 48.8723330117], [2.6847565376, 48.871312361], [2.6836910898, 48.8707582693], [2.6822273739, 48.8700169525], [2.6814072466, 48.8697045079], [2.6810667067000002, 48.8696604337], [2.6793057837000003, 48.8711485951], [2.6784939966, 48.8719144335], [2.6740942131, 48.8763397521], [2.6739594693, 48.876520147]]]}";CA Marne et Gondoire;3501.03448276;48.8737677872,2.70891830161
77418;77;Saint-Loup-de-Naud;887;164.0;145.0;165.0;202.0;144.0;65.0;2.0;445.0;91.0;74.0;81.0;105.0;71.0;22.0;1.0;120.0;267.0;58.0;442.0;73.0;71.0;84.0;97.0;73.0;43.0;1.0;100.0;258.0;84.0;0.0;0.0;0.0;12.0;20.0;28.0;0.0;76.0;0.0;16.0;24.0;52.0;108.0;76.0;4.0;20.0;4.0;8.0;4.0;12.0;28.0;8.0;220.0;24.0;10.96;SEINE-ET-MARNE;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[3.1842420387, 48.5421054636], [3.1872350258, 48.5429832607], [3.1965903224, 48.5479049587], [3.1968631482, 48.5480376423], [3.1974018638, 48.5478991166], [3.2017202965, 48.5469680215], [3.2021927786, 48.546875464], [3.2040847316, 48.5466815253], [3.2050332275, 48.5467104789], [3.2214601061, 48.5485215258], [3.2253937757, 48.548941427], [3.2299744703, 48.5495146731], [3.2358527726, 48.5505772356], [3.2358077174, 48.5511035671], [3.2365589073, 48.5509248622], [3.2377032337, 48.5504934908], [3.2399173235, 48.5493376082], [3.2421000015, 48.5475619491], [3.2433162493, 48.5460131191], [3.2452174858, 48.5432079715], [3.2458502301, 48.5414911931], [3.2458534367, 48.540152631], [3.246538118, 48.5336482242], [3.2482897582, 48.5279844587], [3.2476398397, 48.5271600032], [3.2469781003, 48.5264093335], [3.2459645332, 48.5257160616], [3.2449647876, 48.5250767269], [3.2428178835, 48.5238253201], [3.2424095656, 48.5236759238], [3.2422082053, 48.5237671917], [3.2352290897, 48.5251197797], [3.2303538653, 48.5251590129], [3.2289236928, 48.5245257742], [3.2279903344, 48.5241515443], [3.2231230621, 48.522856391], [3.2220241566, 48.5227064198], [3.2218297031, 48.5231574718], [3.2126398124, 48.5247989039], [3.2108980581, 48.5250943694], [3.2041210816, 48.5253949635], [3.1946371521, 48.5257895916], [3.1944565319000002, 48.5260201787], [3.1913658007, 48.5315269875], [3.1906381775, 48.5325653623], [3.1897072321, 48.5335707722], [3.1887049716, 48.5343414995], [3.1876351195, 48.5351582026], [3.1868918211, 48.535253828], [3.1868934962, 48.535343782300004], [3.1855835933, 48.5380049569], [3.1846888007, 48.5404837551], [3.1844298849, 48.5412047085], [3.1842420387, 48.5421054636]]]}";CC du Provinois;80.9306569343;48.5364979375,3.2184982062
77325;77;Mouy-sur-Seine;360;39.6694214876;57.520661157;53.5537190083;77.3553719008;85.2892561983;40.6611570248;5.95041322314;178.512396694;22.8099173554;29.7520661157;24.7933884298;40.6611570248;40.6611570248;16.8595041322;2.97520661157;33.7190082645;103.140495868;41.652892562;181.487603306;16.8595041322;27.7685950413;28.7603305785;36.694214876;44.6280991736;23.8016528926;2.97520661157;25.7851239669;109.090909091;46.6115702479;0.0;0.0;0.0;7.93388429752;15.867768595;3.96694214876;0.0;7.93388429752;3.96694214876;7.93388429752;0.0;27.7685950413;47.6033057851;35.7024793388;0.0;0.0;0.0;0.0;0.0;0.0;3.96694214876;7.93388429752;126.94214876;0.0;8.62;SEINE-ET-MARNE;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[3.2528153565, 48.445805859000004], [3.2555698921, 48.4449794928], [3.2610440258, 48.4439671843], [3.2712072341000002, 48.4479297775], [3.272696745, 48.448053213], [3.2735590052, 48.4479567673], [3.2746424444, 48.4469709654], [3.2755204279, 48.4460090204], [3.2750384820000003, 48.4451293953], [3.2753570029, 48.4429506371], [3.2737521421, 48.4349358603], [3.2708058065, 48.4301313243], [3.2678950035, 48.4276836965], [3.2671471833, 48.4270943143], [3.2651442078, 48.425550513], [3.262187855, 48.4244352209], [3.2585699943, 48.426754358], [3.2540236073, 48.4246985871], [3.2449523318, 48.4209103453], [3.2423035619, 48.4198137121], [3.2323352933, 48.4184805778], [3.2317962481, 48.4185293139], [3.2289521544, 48.4181102014], [3.2276041634, 48.4183008228], [3.2169158516, 48.4208092842], [3.2152156654, 48.4205064997], [3.214005966, 48.4208298633], [3.2134050029, 48.4212843696], [3.2132057011, 48.4214655575], [3.2126096848, 48.4221440632], [3.2123502017, 48.4228201644], [3.2119711627, 48.4243520435], [3.2112632873, 48.4264701754], [3.2110660327, 48.4268312846], [3.2118282362, 48.4267867432], [3.2144057875, 48.4254074532], [3.2153339621, 48.424638373], [3.2157423494, 48.4236939003], [3.2193417877, 48.424656221], [3.2223336549, 48.4260720946], [3.2246530896, 48.4307863648], [3.2255087226, 48.4332866484], [3.225526485, 48.4342753208], [3.2249064914, 48.4375610836], [3.2247485937, 48.4388928478], [3.2267734777, 48.4397184617], [3.2273611319, 48.438353486], [3.2277118135, 48.4369097926], [3.2300910436, 48.436533652], [3.2325844405, 48.4372170155], [3.2361546357, 48.4383165206], [3.2384777558, 48.4395776662], [3.2396570726, 48.4420169059], [3.241073504, 48.4427688319], [3.2433080417, 48.4435208656], [3.2528153565, 48.445805859000004]]]}";CC Bassée-Montois;41.7633410673;48.4323814979,3.24721715587
78681;78;Villiers-le-Mahieu;700;161.151079137;83.5971223022;174.244604317;119.856115108;131.942446043;27.1942446043;2.01438848921;357.553956835;83.5971223022;48.345323741;83.5971223022;56.4028776978;76.5467625899;9.06474820144;0.0;105.755395683;200.431654676;51.3669064748;342.446043165;77.5539568345;35.2517985612;90.6474820144;63.4532374101;55.3956834532;18.1294964029;2.01438848921;94.6762589928;199.424460432;48.345323741;0.0;0.0;0.0;4.02877697842;4.02877697842;8.05755395683;0.0;20.1438848921;0.0;8.05755395683;48.345323741;112.805755396;52.3741007194;28.2014388489;0.0;20.1438848921;0.0;0.0;12.0863309353;4.02877697842;8.05755395683;0.0;193.381294964;4.02877697842;6.9;YVELINES;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[1.758615671599999, 48.8687633435], [1.7589554021, 48.8688100391], [1.7723971501, 48.8729636677], [1.7728743158, 48.8729658624], [1.7751268148000001, 48.872616576], [1.7776604369, 48.8713257315], [1.7812434066, 48.8688259128], [1.7839258223, 48.8661108703], [1.7869960196, 48.8611907136], [1.7873586807000001, 48.8574401903], [1.7892917033, 48.8549683519], [1.7916943338, 48.8543954191], [1.7916968218, 48.8541705872], [1.79163541, 48.853586238], [1.790966437999999, 48.8524596905], [1.7884863888, 48.8486282087], [1.7864652302000001, 48.8466415604], [1.7839687904, 48.8444728534], [1.7820869396, 48.8422536823], [1.7806802516, 48.8399997446], [1.7781056728, 48.8325278666], [1.778040114, 48.8323023348], [1.7773684132, 48.8314904634], [1.7768941778, 48.8312634503], [1.7747228783, 48.8306691743], [1.7710700212, 48.8335728936], [1.7615293319, 48.8407177276], [1.7611172039, 48.8410300642], [1.7609783315, 48.8412543863], [1.7631699201000002, 48.8443936349], [1.7653622358, 48.84665049], [1.7666194973, 48.8483454078], [1.7673866554000002, 48.8496179223], [1.7656778246, 48.8528886391], [1.7620984096, 48.8557694202], [1.7603110491, 48.858651581], [1.7585975431, 48.8664921122], [1.7584853911, 48.8682232381], [1.758615671599999, 48.8687633435]]]}";CC Coeur d'Yvelines;101.449275362;48.853923701,1.7740290539
77514;77;Villeparisis;24525;5323.21851125;4992.96272233;5981.70477585;4395.76132781;2576.8244322;1184.36321606;70.1650145016;12217.0199309;2738.85090088;2439.95567335;3093.63392187;2174.22129602;1254.72043193;497.605715203;18.0319917008;3446.25352226;7565.88939414;1204.87701454;12307.9800691;2584.36761037;2553.00704898;2888.07085398;2221.54003179;1322.10400027;686.757500854;52.1330228008;3127.50956183;7702.69009763;1477.7804096;0.0;28.9842924071;76.5333907415;338.809659633;610.832553327;345.681547071;0.0;1407.94784497;3.92687626573;331.835543623;1262.16853793;3248.07593866;3151.65685469;2135.67284301;22.7787727765;884.675918492;0.993855154522;119.435305143;284.186721868;318.418573262;356.047869181;282.396170057;3547.76103158;445.961410092;8.3;SEINE-ET-MARNE;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[2.6433467453, 48.9533529698], [2.6410191316000002, 48.9521005607], [2.6369517095, 48.9446523746], [2.6366055582, 48.9439786806], [2.6358317802, 48.9421832092], [2.6357577385, 48.9410598078], [2.6356758724000002, 48.9387151829], [2.6356729316000003, 48.9383554687], [2.6360538206, 48.9332766756], [2.6364618241, 48.9330962618], [2.6364603511, 48.9329164038], [2.6359081751, 48.931659349], [2.6354297285, 48.9315706654], [2.634952333, 48.9315269466], [2.6339973275, 48.9316643198], [2.6336568372, 48.9317550049], [2.6288801040000003, 48.9311377976], [2.6232750963, 48.9288145787], [2.6166280456, 48.9255498184], [2.6162147084000003, 48.9247868091], [2.6157373912, 48.9247430135], [2.6029510047, 48.9289396096], [2.6025997962, 48.9293566073], [2.602603176799999, 48.9299861092], [2.6031184312, 48.9372278318], [2.6031883743, 48.9375428064], [2.6012144563, 48.9384454126], [2.5977253786, 48.9388006536], [2.5959331869, 48.9386084774], [2.5950745921, 48.9408852152], [2.5919767284, 48.9489446718], [2.5919093847, 48.9493491081], [2.5919789763, 48.949528297], [2.5921171411, 48.9498426076], [2.5923229130000003, 48.9500672223], [2.5926788793, 48.9502914477], [2.5936359396, 48.9506481028], [2.5979384863, 48.951672472], [2.611397128, 48.9549676467], [2.6175595821, 48.9532905742], [2.624705675, 48.9531836633], [2.6423916704, 48.9534454456], [2.6433467453, 48.9533529698]]]}";CA Roissy Pays de France;2954.81927711;48.9417587135,2.61680673714
94046;94;Maisons-Alfort;53265;8967.11201038;11048.6296824;11962.5864768;10272.1409258;6713.97371738;3883.82038463;416.736802597;24958.0447505;4528.15470884;5149.03146868;5888.14037927;4895.37860971;3020.4829762;1346.27349497;130.583112788;5882.39000217;15934.5916451;3141.06310317;28306.9552495;4438.95730154;5899.59821368;6074.44609755;5376.76231613;3693.49074117;2537.54688965;286.153689809;5742.72567788;17649.5967663;4914.63280535;0.0;31.8432552263;232.369693219;795.622026869;1198.7664177;467.100074672;0.0;3934.57749193;0.96595954142;883.120767612;6144.48725745;6645.71045115;5834.08452779;2455.79197761;85.3754982782;1455.07009946;3.56892483699;352.299260389;1003.87121154;956.566212021;789.418395874;475.975318714;9705.30246825;840.000652153;5.37;VAL-DE-MARNE;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[2.4606281524, 48.8093641813], [2.4622578451, 48.8084631491], [2.4630735597, 48.8080584968], [2.4638892961, 48.8075180324], [2.4640148072, 48.8073621028], [2.4605522519000003, 48.806038826700004], [2.458785377, 48.8057304466], [2.4568390371, 48.8053987402], [2.4527742534, 48.804924214], [2.4486625656, 48.8037415169], [2.4478090188, 48.8030855224], [2.4470394829, 48.8024694831], [2.4428900096, 48.7969513517], [2.4407501558, 48.7937575086], [2.4386674893, 48.7898272796], [2.4390397889, 48.7891292967], [2.4360048243, 48.7870760747], [2.4327446429, 48.7867314624], [2.4321358304, 48.7883942585], [2.427385191, 48.8002004248], [2.4257021663, 48.8043061521], [2.4252332021000003, 48.8053480856], [2.4244885099, 48.806820394], [2.4241337486, 48.8075040166], [2.4236640483, 48.8082374491], [2.4229244171, 48.8091215725], [2.4219513636, 48.8100549277], [2.420596035, 48.8111968776], [2.416045462, 48.816151906], [2.4159099817, 48.8163320193], [2.4179511564, 48.8166000946], [2.4195846403, 48.8169138235], [2.4205379683, 48.8169130511], [2.4358055893, 48.8167036643], [2.4396444796, 48.816599402], [2.4457279326, 48.8162185419], [2.4535621593, 48.814323643], [2.4546492787, 48.8135047775], [2.4557860397, 48.812231942], [2.4567760425, 48.8113163804], [2.4573453559000002, 48.8109133461], [2.4581136855, 48.8104896261], [2.4589988796, 48.8100880151], [2.4606281524, 48.8093641813]]]}";Métropole du Grand Paris;9918.99441341;48.8060849119,2.43798340414
78517;78;Rambouillet;25860;4609.22547851;5283.32312382;4923.66000655;5132.13963231;3635.26159984;2014.31195432;262.078204658;12205.7700821;2376.13861424;2458.85179176;2482.491795;2382.82034164;1665.60037622;766.780302717;73.086860532;3177.61115371;7291.25747601;1736.90145238;13654.2299179;2233.08686427;2824.47133206;2441.16821155;2749.31929067;1969.66122362;1247.5316516;188.991344126;3182.19358088;7911.16095467;2560.87538235;2.96325869137;34.2543240832;58.6510389164;501.824712742;673.104285469;371.318809495;0.0;1895.81502131;4.54631032875;306.47319055;2570.88780338;2517.17796456;2526.52773786;1307.93444814;28.2656607183;918.75656608;0.0;104.16518292;589.139559832;496.673360684;407.400661836;171.547346061;5310.90861597;464.236442461;35.91;YVELINES;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[1.7859794842, 48.6745571528], [1.7868340846000001, 48.6771233263], [1.7898123233, 48.6778561556], [1.7944149266, 48.679135189], [1.8000825883, 48.6823165436], [1.8034570349, 48.6842188402], [1.8034560057, 48.6842638079], [1.8037269741, 48.684355583], [1.812595908, 48.6879902797], [1.8125948866, 48.6880352473], [1.8131375994, 48.6881279067], [1.8237849452, 48.6822864392], [1.834304369499999, 48.6767135326], [1.8406140987000001, 48.6770098421], [1.8462996884, 48.6785699537], [1.8472504775, 48.6785737527], [1.8482684366000002, 48.6784882373], [1.8464031712, 48.6747415365], [1.8441399232, 48.6701480434], [1.844132587, 48.6637205748], [1.8554316751000002, 48.6613396078], [1.8618665925000002, 48.6612312101], [1.8674310587, 48.662376288], [1.8729439263, 48.6614525163], [1.8778576139, 48.6588262701], [1.8853183913, 48.6547177944], [1.8865128246, 48.6542261017], [1.8891625724, 48.6537416745], [1.8978576655000001, 48.6523804004], [1.900724421, 48.6518968245], [1.9027670118, 48.650960308], [1.9027675407, 48.650870356], [1.9008024591, 48.6506381486], [1.8957380192, 48.6500138016], [1.8838832729, 48.6445976679], [1.8815272345, 48.6426019024], [1.8797937535, 48.639178909099996], [1.877050287099999, 48.6350788711], [1.8728452856, 48.6351525062], [1.8636232371, 48.6350037203], [1.8575963226, 48.6341031618], [1.8522017997, 48.6309252298], [1.8439053984, 48.6262615629], [1.8352443309000002, 48.6229899002], [1.8339252304, 48.622691819], [1.830918408, 48.6217123621], [1.8309317349, 48.6202650326], [1.828966439999999, 48.6201674584], [1.8289710736, 48.6197177022], [1.8282973481, 48.6192648719], [1.8275521484000001, 48.6192170554], [1.8275419106, 48.6203405599], [1.827033713, 48.6237639399], [1.8262320382000001, 48.629378536], [1.8255822118, 48.6334203108], [1.8250899329, 48.6352164426], [1.8177359798000001, 48.6345670458], [1.8111917103000001, 48.6369982924], [1.8032673080000001, 48.6392102179], [1.8019082971, 48.6395186133], [1.8010939491, 48.639514919], [1.7974055009, 48.6388246383], [1.7940579027, 48.6379550747], [1.7920951169000001, 48.6374871908], [1.7895206085000002, 48.6372955334], [1.7859814746, 48.6371443715], [1.7730834597, 48.6383877222], [1.7702062936, 48.6410253674], [1.7692457569000002, 48.6420994639], [1.7685589128, 48.6429056026], [1.7675917874, 48.6444294147], [1.7658593222, 48.6478362403], [1.7651866722, 48.6522921479], [1.7676134774, 48.6536522608], [1.7685583527, 48.6540614458], [1.7746346655, 48.6568318349], [1.787277148699999, 48.6641110169], [1.786003854, 48.6722203159], [1.7859794842, 48.6745571528]]]}";CA Rambouillet Territoires;720.133667502;48.6537226807,1.8259982339
78557;78;Saint-Hilarion;897;172.77043673;148.662933931;160.71668533;223.998880179;138.618141097;52.2329227324;0.0;463.064949608;103.461366181;79.3538633819;76.3404255319;111.497200448;62.2777155655;30.1343784994;0.0;132.591265398;265.182530795;65.2911534155;433.935050392;69.3090705487;69.3090705487;84.3762597984;112.501679731;76.3404255319;22.0985442329;0.0;96.4300111982;272.213885778;65.2911534155;0.0;0.0;0.0;8.03583426652;12.0537513998;20.0895856663;0.0;64.2866741321;4.01791713326;24.1075027996;88.3941769317;84.3762597984;76.3404255319;56.2508398656;0.0;8.03583426652;0.0;12.0537513998;12.0537513998;20.0895856663;8.03583426652;0.0;229.021276596;12.0537513998;14.27;YVELINES;ILE-DE-FRANCE;"{""type"": ""Polygon"", ""coordinates"": [[[1.7095776137, 48.632927221], [1.7098498942, 48.6328384096], [1.7132052235000002, 48.6312832841], [1.7158927345000001, 48.6333193263], [1.7183927746, 48.6358138865], [1.720229086899999, 48.6382058998], [1.7212945755, 48.6398744195], [1.7228213376000001, 48.6426687811], [1.7234238223, 48.6433463434], [1.7247030868, 48.6441615906], [1.7293596636, 48.6461634786], [1.7294954082, 48.6461640265], [1.7339595301, 48.6425006853], [1.7411332866, 48.637952736], [1.7489433257, 48.6354639376], [1.7556387905, 48.6337546454], [1.7599817608000001, 48.627348847], [1.760981974, 48.6243086752], [1.7607891531000002, 48.6217346752], [1.7567029736, 48.6173541365], [1.7525965126, 48.6087854744], [1.7526658985, 48.6086062763], [1.7520573547, 48.6084685542], [1.7500998462, 48.6077840965], [1.7465229784, 48.6064627243], [1.7311098457, 48.6048969258], [1.7288497883, 48.605907393], [1.725646072, 48.6068933264], [1.7242024206000002, 48.6071270633], [1.7185490043, 48.607483778], [1.7183288735, 48.6073878467], [1.7181238778, 48.6071724269], [1.7180239312, 48.6073206897], [1.7181196556, 48.6086747669], [1.7174868491000002, 48.6104726119], [1.7159456628, 48.6131288006], [1.7153920767000002, 48.6139046067], [1.7148984610000002, 48.6143922766], [1.7139604106, 48.6145242904], [1.7128110723, 48.6143652324], [1.7109110128, 48.6140037185], [1.7092007396, 48.6136496292], [1.6980095056, 48.6124275362], [1.6894221051, 48.6115362504], [1.6891180419, 48.6115427992], [1.6884951176, 48.6116591894], [1.6880320587000002, 48.611513745], [1.6858978336, 48.612384447], [1.6842945091, 48.6135056788], [1.6836213843, 48.6139984358], [1.682315316, 48.6155961334], [1.6838368806, 48.616166235], [1.6847680748, 48.6161495347], [1.6856238272000001, 48.616111303], [1.6902364125, 48.6168935265], [1.6909307450000002, 48.6171251693], [1.6908150995, 48.6172462477], [1.6947414886, 48.6184012912], [1.6964379035000001, 48.620622161200004], [1.6971049981, 48.6215695708], [1.6979619109000001, 48.6235608163], [1.7002809482, 48.6266790493], [1.7030413903000001, 48.6295213522], [1.7089056138, 48.6323837686], [1.7095776137, 48.632927221]]]}";CA Rambouillet Territoires;62.8591450596;48.6227874867,1.72882465818
