ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BL;NB_NUL;NB.EXPRIM;DUPONT-AIGNAN Nicolas;LE PEN Marine;MACRON Emmanuel;HAMON Benoît;ARTHAUD Nathalie;POUTOU Philippe;CHEMINADE Jacques;LASSALLE Jean;MÉLENCHON Jean-Luc;ASSELINEAU François;FILLON François;geo_shape;geo_point_2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-9;Présidentielle;2017;1;2007-04-23;2;19;5;9;86;1528;1378;1378;8;2;1368;18;35;572;118;2;11;1;7;206;10;388;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3390416288", 48.8438780602], [2.3394590982, 48.843693417], [2.3398466528, 48.8436132093], [2.3397783947, 48.8411953773], [2.3385369759, 48.8395035418], [2.3408259398, 48.839008569], [2.3407218311, 48.8387074706], [2.3397441017, 48.8389055251], [2.3368021001, 48.839697918], [2.3368765772, 48.8406336547], [2.3373185, 48.8407876961], [2.3390416288," 48.8438780602]]]}"";48.8411605321",2.338655292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-21;Présidentielle;2017;1;2007-04-23;2;17;5;21;90;1412;1238;1238;6;3;1229;16;30;515;145;3;8;3;3;200;7;299;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3624138156", 48.8476110501], [2.3569184699, 48.8448271952], [2.3550153179, 48.8447950475], [2.3546357292, 48.8464646536], [2.3521734805, 48.8466657601], [2.3515070695, 48.8468305757], [2.3512298661, 48.8472388831], [2.3518427968, 48.8477052301], [2.3526684279, 48.847450942], [2.3529439345, 48.848763985], [2.3542176124, 48.8493282306], [2.3555836048, 48.8506082145], [2.356040513, 48.8504748867], [2.3590650625, 48.8494708681], [2.3591844728, 48.8494077853], [2.3612969543, 48.8482917389], [2.3614502154, 48.8482083069], [2.3624138156," 48.8476110501]]]}"";48.8476356965",2.356776985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6-21;Présidentielle;2017;1;2007-04-23;11;23;6;21;75;1100;987;987;5;3;979;12;29;402;68;1;4;0;5;103;6;349;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3307579171", 48.8440381173], [2.3308544703, 48.8439671171], [2.3322171469, 48.8437669061], [2.3323523543, 48.8432753397], [2.3324683328, 48.8418861987], [2.3330917433, 48.8414456249], [2.3330317498, 48.8412107401], [2.3333119175, 48.8410388806], [2.3345182466, 48.8406220752], [2.3344490387, 48.840495893], [2.3294810593, 48.8421172759], [2.3305950398, 48.8439626931], [2.3307579171," 48.8440381173]]]}"";48.8424828353",2.331423214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7-10;Présidentielle;2017;1;2007-04-23;2;27;7;10;68;1503;1304;1304;14;3;1287;32;100;465;67;1;3;1;9;89;10;510;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3155547278", 48.849849117], [2.3148276968, 48.8518029694], [2.3190264049, 48.8516801449], [2.3205033673, 48.8484294607], [2.3195893176, 48.8479848625], [2.3192193378, 48.8478382793], [2.3179211688, 48.8501434426], [2.3153528994, 48.8494505822], [2.3155547278," 48.849849117]]]}"";48.8503042599",2.317805309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7-19;Présidentielle;2017;1;2007-04-23;2;28;7;19;69;1196;1045;1045;11;6;1028;16;59;312;44;0;4;1;6;69;8;509;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3015150227", 48.8581441096], [2.303522732, 48.8588164344], [2.3042421664, 48.8573275174], [2.3045687905, 48.857229924], [2.3050048106, 48.8562865222], [2.30588534, 48.8546680625], [2.3053717856, 48.8543432653], [2.3031625338, 48.8557630979], [2.3031798409, 48.8559231336], [2.3026701912, 48.8562562624], [2.303318688, 48.8566345513], [2.3026082674, 48.8576560137], [2.3015150227," 48.8581441096]]]}"";48.8566143969",2.303910523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-13;Présidentielle;2017;1;2007-04-23;1;30;8;13;67;1447;1218;1218;6;1;1211;16;67;409;35;1;4;2;2;70;11;594;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3097435616", 48.874371356], [2.3105511812, 48.8739057663], [2.3114731867, 48.8730839917], [2.3106308976, 48.8728451169], [2.3125082654, 48.8722025617], [2.311937622, 48.871449083], [2.3128596624, 48.8704147161], [2.310112822, 48.8690133186], [2.3026544138, 48.8714198613], [2.3062614287, 48.8732270649], [2.3065551487, 48.8736821403], [2.3069735163, 48.8737120848], [2.30761217, 48.8741075737], [2.3087261515, 48.8736752387], [2.3097435616," 48.874371356]]]}"";48.8716344379",2.308458594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9-4;Présidentielle;2017;1;2007-04-23;18;35;9;4;65;1397;1215;1215;10;1;1204;8;28;561;103;0;2;1;8;178;9;306;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3469963313", 48.8757100062], [2.34799886, 48.8756664637], [2.348399235, 48.8764748273], [2.3485805958, 48.8765696721], [2.3482553025, 48.8759799003], [2.3478675079, 48.874041397], [2.347870954, 48.8709210502], [2.3476889099, 48.8710033596], [2.3467005226, 48.8721893415], [2.3457345998, 48.8723429304], [2.3451649062, 48.8724258761], [2.3456254231, 48.8747863645], [2.3454352129, 48.8747774179], [2.3455245242, 48.8756308479], [2.3469963313," 48.8757100062]]]}"";48.8737949572",2.346778998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9-8;Présidentielle;2017;1;2007-04-23;18;33;9;8;85;1356;1203;1204;6;0;1198;26;33;506;79;2;4;0;6;113;2;427;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3308127308", 48.8779821894], [2.3298102933, 48.8791464748], [2.3295111321, 48.8791136118], [2.3291254546, 48.8798695658], [2.3287005815, 48.8807636624], [2.3310965522, 48.8813140122], [2.3316930895, 48.8811994395], [2.3314836262, 48.8801356876], [2.3338339267, 48.879578101], [2.3333084989, 48.8791464496], [2.3324534202, 48.8793575163], [2.3319323975, 48.8780276087], [2.3324856568, 48.8767615611], [2.3322276587, 48.8766586524], [2.3317680869, 48.8779368636], [2.3308127308," 48.8779821894]]]}"";48.8795989889",2.330966115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9-13;Présidentielle;2017;1;2007-04-23;18;33;9;13;97;1497;1243;1243;14;2;1227;17;37;534;125;4;7;2;4;219;9;269;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3325880349", 48.8837671105], [2.3367096077, 48.8825428894], [2.3366851863, 48.8821428989], [2.3370573109, 48.8818538322], [2.3350652979, 48.8804860117], [2.3335375638, 48.8823664163], [2.3323145596, 48.8828704819], [2.3325880349," 48.8837671105]]]}"";48.8822451731",2.334760427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9-19;Présidentielle;2017;1;2007-04-23;18;36;9;19;75;1435;1228;1228;11;2;1215;12;48;506;147;3;4;1;7;188;11;288;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3425537476", 48.8784254732], [2.3429782163, 48.8791913967], [2.3433747854, 48.8791182423], [2.344437294, 48.8800179976], [2.3460257649, 48.8796315654], [2.3465727389, 48.8795969446], [2.3472825791, 48.8790247921], [2.3456446541, 48.8785610473], [2.3451555369, 48.8787350017], [2.3429191198, 48.8783453708], [2.3425537476," 48.8784254732]]]}"";48.8791251105",2.344850284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
